name	description	GS details	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
BIOMINERAL TISSUE DEVELOPMENT%GOBP%GO:0031214	BIOMINERAL TISSUE DEVELOPMENT%GOBP%GO:0031214	Details	29	-0.873206770776825	-1.60278479328788	0.000761558852389391	0.0360936354491671	0	17027	FGFR3,ALOX15,ATF4,TUFT1,BMP2
BONE MINERALIZATION%GOBP%GO:0030282	BONE MINERALIZATION%GOBP%GO:0030282	Details	20	-0.919463798759848	-1.58848885734599	0.000630981175728257	0.0345462193711221	0	17027	FGFR3,ALOX15,ATF4,TUFT1,BMP2
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%R-HSA-72737.4	CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%R-HSA-72737.4	Details	117	-0.73671239723415	-1.623411453985	8.62763367475028e-05	0.0111902361250467	0	16522	EIF4A1,PABPC1,EIF3D,EIF4EBP1,EIF3E,EIF2B4,EIF4A2,RPL7A,EIF4B,EIF2S2,EIF4E,RPL24,EIF3I,RPSA,RPS10,RPS3,RPL13A,EIF4H,EIF2B3,RPL14,RPS19,RPL23A,RPS27A,RPS2,RPL18,RPL17,EIF3F,RPS11,RPL19,RPL28,RPS5,RPS18,RPS14,RPS25,RPS28,RPLP2,RPL10A,EIF2B2,RPS12,RPS8,EIF3B,EIF3G,RPS23,RPL18A,RPS15A,RPL36,RPL3,RPL27A,RPL4,RPS21,RPLP0,EIF3L,EIF3M,RPL13,RPL34,RPS29,EIF2B5,RPL37,RPS9,RPL35,RPS3A,RPS15
CYTOPLASMIC TRANSLATION%GOBP%GO:0002181	CYTOPLASMIC TRANSLATION%GOBP%GO:0002181	Details	124	-0.73346261600436	-1.62623803707548	2.57469333643128e-05	0.00563857840678451	0	16522	EIF4A1,EIF3D,EIF3E,SLBP,EIF2B4,EIF4A2,RPL7A,EIF2S2,GTPBP1,RPL24,EIF3I,RPSA,RPS10,RPS3,RPL13A,EIF2B3,SARS1,RPL14,RPS19,RPL23A,RPS27A,NCBP2,RPS2,RPL18,RPL17,EIF3F,DRG2,RPS11,RPL19,RPL28,RPS5,RPS18,RPS14,RPS25,RPS28,RPLP2,RPL10A,EIF2B2,RPS12,RPS8,RACK1,EIF3B,EIF3G,RPS23,RPL18A,RPS15A,DRG1,RPL36,RPL3,RPL27A,RPL4,RPS21,RPLP0,EIF3L,EIF3M,RPL13,RPL34,RPS29,EIF2B5,RPL37,RPS9,RPL35,RPS3A,RPS15,RPL12,EIF2D,RPL29,RPL15,RPL11,RPS13,UBA52
CYTOSOLIC DNA SENSING PATHWAY%WIKIPATHWAYS_20240310%WP4655%HOMO SAPIENS	CYTOSOLIC DNA SENSING PATHWAY%WIKIPATHWAYS_20240310%WP4655%HOMO SAPIENS	Details	48	-0.822783940237495	-1.62578454478073	0.000489955903968643	0.0297484580078135	0	16938	POLR3D,RNF125,POLR3E,POLR1D,POLR2H,POLR3A,NFKBIB,POLR1C
DEADENYLATION-DEPENDENT MRNA DECAY%REACTOME%R-HSA-429914.4	DEADENYLATION-DEPENDENT MRNA DECAY%REACTOME%R-HSA-429914.4	Details	56	-0.781239618986046	-1.57608126283166	0.0011166407036215	0.041705489592051	0	16911	DCP1B,DCP1A,EXOSC7,LSM2,EIF4A1,CNOT6L,PABPC1,NT5C3B,DCP2,CNOT1,EIF4A2,EIF4B,EXOSC5,EIF4E,CNOT3,EDC3,EXOSC1,PATL1,DIS3,PAN3,SKIC2,TUT4,CNOT8,LSM7,PAN2
DNA-TEMPLATED TRANSCRIPTION%GOBP%GO:0006351	DNA-TEMPLATED TRANSCRIPTION%GOBP%GO:0006351	Details	337	-0.591787543474189	-1.41703558073494	0.000948431779081565	0.0391135729152404	0	17026	BAZ2A,FOXE3,POLR3D,ATF4,EAF1,PPARG,XAB2,XBP1,ELP2,POLR2C,SMARCD1,PRMT5,POLR3E,SPTY2D1,IVNS1ABP,CREBL2,SMAD2,GTF3C3,TSC22D1,C5AR1,POLR1D,TAF4B,ERCC2,MNT,ELOA,GTF2E2,SUPT5H,PHF3,MED14,POLR1H,CTCFL,DDX21,RPRD1A,ARRB2,NOC2L,SNAPC2,POLR1E,TCOF1,SETD2,TAF3,NFAT5,PAAF1,NCOA6,TRMT112,PCID2,SNAPC1,POLR2H,FUBP3,MED8,VDR,ELL,SSU72,WBP2,ASH2L,PKNOX1,POLR3A,NFKBIB,MED30,POLRMT,SMN2,SMAD4,ZBTB7B,TAF6,NCBP3,PAX1,POLR1C,CCNK,USP21,SMARCB1,PWP1,DPY30,GTF2F1,MED15,SMARCA4,CEBPD,NCBP2,TWNK
DORSAL/VENTRAL PATTERN FORMATION%GOBP%GO:0009953	DORSAL/VENTRAL PATTERN FORMATION%GOBP%GO:0009953	Details	31	-0.855563019194497	-1.58726489149811	0.0012085032032615	0.0433627335814339	0	16812	FGF8,DSCAML1,NOG,SIX3,ACVR1,CHRD,SMAD2,SMAD6,PTCH1
ENDOCRINE SYSTEM DEVELOPMENT%GOBP%GO:0035270	ENDOCRINE SYSTEM DEVELOPMENT%GOBP%GO:0035270	Details	36	-0.838542053426641	-1.59110339529121	0.0011213341000575	0.041705489592051	0	17001	RFX3,SALL1,WNT11,BMP2,SOX2,PAX6,SIX3,BMP4,IL6R,FOXI3
ENDODERM DIFFERENTIATION%WIKIPATHWAYS_20240310%WP2853%HOMO SAPIENS	ENDODERM DIFFERENTIATION%WIKIPATHWAYS_20240310%WP2853%HOMO SAPIENS	Details	114	-0.715228123136853	-1.57156237344254	0.000507511165245635	0.0301233963595797	0	17023	TRIM71,FOXH1,EPB41L5,WDFY2,OTX2,NODAL,NOG,SOX2,CDYL,BCORL1,SMAD2,UBR5,DNMT3B,TAF4B,CRTC1,TOX3,ELAVL1,PABPC1,RAB38,CTBP2,TCF7L1,TGFB1,CAND1,ACACA,SMAD4,SIAH2,MAP2K3,NOTCH1,ZIC5,TRERF1,WNT3,BTAF1,POU5F1,MAD2L2,PAX3,C1QBP
