name	description	GS details	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS%REACTOME DATABASE ID RELEASE 81%176187	ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS%REACTOME DATABASE ID RELEASE 81%176187	Details	37	0.848965208058045	1.81193499358579	0.000182150798297265	0.0167657930432744	0	2045	MCM4,CDC6,CDC45,CLSPN,MCM8,MCM2,MCM10,MCM5,RFC2,CDC25A,MCM3,CDK2,RFC5,RFC3,CHEK1,MCM7,CDC25C,MCM6
ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME%R-HSA-68962.6	ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME%R-HSA-68962.6	Details	32	0.859647279191842	1.78650724180222	0.000277315540714133	0.0209219235972308	0	1638	MCM4,CDC6,CDC45,MCM8,POLA2,MCM2,MCM10,MCM5,GMNN,MCM3,CDK2,POLA1,POLE3,PRIM1,MCM7
AEROBIC RESPIRATION I (CYTOCHROME C)%BIOCYC%PWY-3781	AEROBIC RESPIRATION I (CYTOCHROME C)%BIOCYC%PWY-3781	Details	73	0.697401225066421	1.66673838395853	0.00122056854870462	0.0435496115327138	0	1927	UQCRQ,MT-CYB,MT-ND3,MT-CO2,MT-ND6,NDUFB1,MT-ND5,NDUFA4L2,MT-ND2,MT-ND4,UQCRB,NDUFA12,MT-CO3,MT-ND4L,NDUFA5,NDUFB6,NDUFA6,COX7B,MT-ND1,MT-CO1,COX6C,NDUFA9,NDUFB3
AEROBIC RESPIRATION%GOBP%GO:0009060	AEROBIC RESPIRATION%GOBP%GO:0009060	Details	131	0.609490125917763	1.58052607239651	0.000862725196650596	0.036992011982027	0	2709	UQCRQ,MT-CYB,MT-ND3,MT-CO2,MT-ND6,NDUFB1,MT-ND5,MT-ND2,MT-ND4,UQCRB,MT-ATP6,MT-ATP8,NDUFA12,MT-CO3,MT-ND4L,MDH1,NDUFA5,NIPSNAP2,NDUFB6,NDUFA6,COX7B,IDH3A,MT-ND1,ATP5PB,MT-CO1,CYCS,COX6C,ATP5MF,MFN2,NDUFA9,SDHAF2,NDUFB3,BLOC1S1,ATP5PF,ME3,SLC25A51,ACO2,SUCLA2,NDUFA11,NDUFA10,NDUFC2,MTFR1L,COX4I1,NDUFC1
ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	Details	80	0.683964835168787	1.65695471611729	0.00129970350513789	0.0453539393468722	0	1927	UQCRQ,MT-CYB,MT-ND3,MT-CO2,MT-ND6,NDUFB1,MT-ND5,MT-ND2,MT-ND4,UQCRB,NDUFA12,MT-CO3,MT-ND4L,NDUFA5,NDUFB6,NDUFA6,COX7B,MT-ND1,MT-CO1,CYCS,COX6C,NDUFA9,SDHAF2,NDUFB3
ATR SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ATR SIGNALING PATHWAY	ATR SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ATR SIGNALING PATHWAY	Details	39	0.812931683795145	1.74942997765054	0.000835421888053467	0.0360936354491671	0	1873	CDC6,RAD51,CLSPN,MCM2,BRCA2,RFC2,FANCD2,CDC25A,CCNA2,CDK2,BTRC,RFC5,RFC3,CHEK1,MCM7,TOPBP1,CDC25C
BLOOD CIRCULATION%GOBP%GO:0008015	BLOOD CIRCULATION%GOBP%GO:0008015	Details	237	0.572537822774967	1.58129272702914	8.27347349591024e-05	0.0111902361250467	0	1380	MYL2,MYH7,SGCD,PLN,SCN5A,SGK1,ANK2,DMD,CXCL12,PTGS2,FGF12,AGT,CDH5,SCN2B,ITGA4,CACNA1C,MYBPC3,KCNJ8,MYL3,F2R,SERPINF2,APLN,TBC1D8,GUCY1A1,PLVAP,BMPR2,NPPB,KCNE4,TNNC1,OLR1,ADM,GPR4,GLP1R,CSRP3,OXTR,CEACAM1,EMILIN1,ADRB3,RYR2,KCNMB2,NPR3,STAT1,CACNB2,CACNA2D1,ZDHHC21,TCAP,SCN3B,GJA1,RNLS,SCN7A,RAMP2,EDNRA
CARDIAC MUSCLE CONTRACTION%GOBP%GO:0060048	CARDIAC MUSCLE CONTRACTION%GOBP%GO:0060048	Details	66	0.747221910090156	1.75743234606756	0.000454050417008055	0.0282713156707663	0	1442	MYL2,MYH7,SCN5A,ANK2,DMD,FGF12,SCN2B,CACNA1C,MYBPC3,KCNJ8,MYL3,KCNE4,TNNC1,CSRP3,RYR2,CACNB2,CACNA2D1,TCAP,SCN3B,GJA1,SCN7A,KCNJ2
CELL CYCLE CHECKPOINT SIGNALING%GOBP%GO:0000075	CELL CYCLE CHECKPOINT SIGNALING%GOBP%GO:0000075	Details	141	0.624973517099815	1.63681794490666	0.000382731683555259	0.0250194876012599	0	1787	SPC24,BRCA1,TRIP13,ZWINT,CDC6,BRIP1,SPC25,BUB1B,CDC45,CLSPN,DTL,NDC80,INIP,CENPF,E2F1,TICRR,KNTC1,GTSE1,BUB1,FANCD2,TAOK3,H2AX,E2F7,BLM,PLK2,NUF2,CDK2,TTK,ZWILCH,APC,DONSON,STK33,DNA2,BUB3,SETMAR,CHEK1,CDK1,AURKB,TOPBP1,BRCC3
CELL CYCLE CHECKPOINTS%REACTOME DATABASE ID RELEASE 81%69620	CELL CYCLE CHECKPOINTS%REACTOME DATABASE ID RELEASE 81%69620	Details	257	0.581778984368315	1.62074987252971	9.27698240070343e-06	0.00310095343299303	0	1724	SPC24,BRCA1,MCM4,DSN1,ZWINT,CDC6,BRIP1,CENPK,CENPN,SPC25,BUB1B,RMI2,CDC45,CLSPN,ERCC6L,NDC80,KNL1,MCM8,CENPF,SPDL1,KNTC1,GTSE1,H2BC5,MCM2,MCM10,SGO2,MCM5,CENPI,BUB1,RFC2,SKA2,INCENP,CDC25A,EXO1,H2AX,H2BC21,YWHAH,CDCA8,SKA1,BLM,CENPE,BIRC5,KIF18A,CCNB1,MCM3,CCNA2,NUF2,CDK2,CENPU,PPP2R5A,CENPM,CENPO,ZWILCH,SGO1,RFC5,PKMYT1,DNA2,BUB3,RFC3,CHEK1,CDK1,MCM7,PSMB10,TOPBP1,H2BC12
