name	description	GS details	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
2'-DEOXYRIBONUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0009394	2'-DEOXYRIBONUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0009394	Details	28	-0.734374960627816	-1.64741702637165	0.00326625044655768	0.0244622129552922	0	16889	PNP,RRM1,TYMS,RRM2,NT5C2,TDG,NUDT15,DTYMK,NEIL2,DGUOK,DCTPP1,NT5C
2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY%PATHWHIZ%PW000525	2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY%PATHWHIZ%PW000525	Details	21	-0.755489747741683	-1.60178227933684	0.00664641093809343	0.0443862837726933	0	16783	PDHB,DLD,FH,PDHA1,SUCLG1,SDHB,MDH1,IDH3B,DLAT,CS,DLST,SDHC,IDH3A,PC,DHTKD1
7Q11 23 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20240310%WP4932%HOMO SAPIENS	7Q11 23 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20240310%WP4932%HOMO SAPIENS	Details	80	-0.565002182831096	-1.50608448438081	0.00699954075411342	0.0462100658309504	0	17008	HMGA1,HSPA2,DLD,RFC2,BAZ1B,PCNA,ATP5F1E,OGDH,DDX21,ATP5MC3,H2AX,ATPAF1,CLTC,ACACA,CLDN4,BUD23,EIF4H,SMARCA5,MYBBP1A,HDAC2,NUP62,ATP5PO,VPS37C
ABC TRANSPORTER DISORDERS%REACTOME DATABASE ID RELEASE 81%5619084	ABC TRANSPORTER DISORDERS%REACTOME DATABASE ID RELEASE 81%5619084	Details	74	-0.694488102953728	-1.83093925451923	1.60629408523236e-05	0.000264975941176901	0	16930	PSMD1,PSMD14,PSMD7,PSMD2,PSMC1,PSMA1,PSMB3,PSMD11,PSMD4,PSMC4,PSMB5,PSMC5,PSMB7,PSMA7,ABCD1,PSMD6,PSMC3,PSMA6,PSMA3,PSMB1,PSME4,PSMB6,PSMD13,PSME3,PSMC2,VCP,PSMA2,PSMB2,PSMD3,PSMA4,PSMD8,PSMB4,PSMA5,PSMD12,PSMC6
ABC-FAMILY PROTEINS MEDIATED TRANSPORT%REACTOME DATABASE ID RELEASE 81%382556	ABC-FAMILY PROTEINS MEDIATED TRANSPORT%REACTOME DATABASE ID RELEASE 81%382556	Details	97	-0.636866035494681	-1.7423963354578	5.79542950083615e-05	0.000817928283551342	0	16930	PSMD1,PSMD14,PSMD7,PSMD2,PSMC1,PSMA1,PSMB3,EIF2S1,PSMD11,PSMD4,PSMC4,PSMB5,PSMC5,PSMB7,PSMA7,ABCD1,PSMD6,PSMC3,PSMA6,PSMA3,PSMB1,PSME4,PSMB6,PSMD13,PSME3,PSMC2,VCP,PSMA2,PSMB2,PSMD3,PSMA4,PSMD8,PSMB4,EIF2S2,PSMA5,PSMD12,PSMC6,ABCC4,ABCB8,ABCF1
ACTIVATION OF GENE EXPRESSION BY SREBF (SREBP)%REACTOME%R-HSA-2426168.5	ACTIVATION OF GENE EXPRESSION BY SREBF (SREBP)%REACTOME%R-HSA-2426168.5	Details	40	-0.721455699927168	-1.72522595329443	0.00056785917092561	0.00548096290964826	0	17033	ELOVL6,FDFT1,FDPS,HMGCS1,SC5D,SQLE,DHCR7,IDI1,MVK,MVD,FASN,CYP51A1,SCD
ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME%R-HSA-68962.6	ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME%R-HSA-68962.6	Details	32	-0.813554048143575	-1.86908379113103	9.06438837856907e-06	0.000155470736303792	0	17003	ORC6,GMNN,CDC6,ORC1,MCM10,CDC45,MCM8,MCM3,POLA2,MCM5,CDK2,MCM7,MCM6,CDT1,DBF4,RPA2,POLE3,PRIM1,POLE2,ORC2,RPA3,PRIM2,MCM4,MCM2
ACYL-COA METABOLIC PROCESS%GOBP%GO:0006637	ACYL-COA METABOLIC PROCESS%GOBP%GO:0006637	Details	73	-0.691869734368655	-1.82068728594264	2.65142797941056e-05	0.000407561545226115	0	17033	ELOVL6,HMGCS1,PDHB,ACOT7,ACSL4,ABCD1,DLD,MVK,MVD,PDHA1,ACLY,SUCLG1,ACOT2,ACOT1,OGDH,ELOVL1,PPT2,ACACA,DLAT,NUDT19,SUCLA2,DLST
ADENINE PHOSPHORIBOSYLTRANSFERASE DEFICIENCY (APRT)%PATHWHIZ%PW000511	ADENINE PHOSPHORIBOSYLTRANSFERASE DEFICIENCY (APRT)%PATHWHIZ%PW000511	Details	33	-0.763899368699133	-1.76439980854225	0.000320951367421747	0.0033525693001571	0	16986	NUDT5,PAICS,PPAT,PNP,RRM1,RRM2,NT5C2,GART,TXN,ATIC,ADSL,DGUOK,ADA,PFAS,GMPS,ITPA,NUDT2
ADENOSINE DEAMINASE DEFICIENCY%PATHWHIZ%PW000075	ADENOSINE DEAMINASE DEFICIENCY%PATHWHIZ%PW000075	Details	33	-0.763899368699133	-1.76439980854225	0.000320951367421747	0.0033525693001571	0	16986	NUDT5,PAICS,PPAT,PNP,RRM1,RRM2,NT5C2,GART,TXN,ATIC,ADSL,DGUOK,ADA,PFAS,GMPS,ITPA,NUDT2
