name	description	GS details	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
ACTION POTENTIAL%GOBP%GO:0001508	ACTION POTENTIAL%GOBP%GO:0001508	Details	71	0.572884307538575	1.59446924895001	0.00362444367454628	0.026577015850522	0	2592	SCN2B,KCNIP2,KCNJ2,KCNJ8,KCNQ1,FGF12,KCNMB2,GPD1L,SCN1A,ANK2,CAV3,SCN2A,MYH14,DMD,RYR2,CNTNAP1,AKAP6,SCN9A,CACNA1C,GPER1,KCNN2,KCND2,SLC4A3,SCN3A,SCN4B,ANK3,CACNA2D1,KCNJ3
ALCOHOL CATABOLIC PROCESS%GOBP%GO:0046164	ALCOHOL CATABOLIC PROCESS%GOBP%GO:0046164	Details	18	0.824337620402099	1.77085697198783	0.00148280650551934	0.0123749068548664	0	2773	SULT1E1,SULT1B1,NUDT3
ANIMAL ORGAN MORPHOGENESIS%GOBP%GO:0009887	ANIMAL ORGAN MORPHOGENESIS%GOBP%GO:0009887	Details	454	0.399485425534755	1.36878339579047	0.000356922479465133	0.00367392976836801	0	2224	ELN,SLC6A4,OSR1,TGFBR2,SCX,TSPAN12,SPEF2,HHIP,FGF9,MFAP2,SEMA6A,RORB,EDA,MGP,TMEM176B,KLK5,LY6H,ADAMTS5,ABCA12,FGF7,DSCAML1,USH1C,FGF5,EFEMP2,TGFB3,HOXD4,HAND2,NTN4,FHL1,FAM20C,FGF1,SPRY1,IFT122,INSR,ISL1,NRP2,VEGFA,CAV1,ITGB4,SFRP2,BMP5,AQP5,SMAD4,STAT3,ALDH1A3,MEIS1,CPE,COMP,NKD1,TBX20,WDPCP,RBPJ,C12orf57,TDRD7,TWIST1,SFRP4,BBS2,FGFR1,RFLNA,CTSH,RYR2,CLDN5,DLL4,TBX18,EFNA1,EFEMP1,TLE1,BMPR1B,SKI,SMO,AXIN2,WNT7B,AHDC1,MFSD2A,TLE2,FOXC1,LRP5,DCN,FLRT2,GATA6,EREG,NPY1R,PKD1,GLI3,SLIT3,ID2,DLC1,SHOX2,SOX5,WNT10A,RAB33B,PPP3CA,STIM1,SOX18,WT1,ZFPM2,FGF18,SEMA3C,PDCD4,HTR2B,BMP4,HPN,BRAF
ASSEMBLY AND CELL SURFACE PRESENTATION OF NMDA RECEPTORS%REACTOME%R-HSA-9609736.5	ASSEMBLY AND CELL SURFACE PRESENTATION OF NMDA RECEPTORS%REACTOME%R-HSA-9609736.5	Details	24	0.758139611625704	1.72888539807931	0.00287321920268167	0.021906140643735	0	2001	CAMK2B,APBA1,LRRC7,DLG2,CAMK2A,GRIN3A
AXON DEVELOPMENT%GOBP%GO:0061564	AXON DEVELOPMENT%GOBP%GO:0061564	Details	248	0.46861683987298	1.52617831912994	7.81907487449063e-05	0.00104143449452438	0	2046	NFIB,EPHA3,SLITRK5,GRM7,SEMA6A,BOC,NELL2,SEMA3D,NREP,CNTN5,LHX9,PTPRO,SEMA5B,EFNA5,IGSF9,COBL,EPHA5,DSCAML1,NEO1,NRCAM,NTN4,SEMA6D,ISL1,NRP2,CNTN6,VEGFA,SPTBN4,SOS1,CNTN1,C12orf57,LGI1,DCC,LGR6,SIAH1,ANOS1,EFNA1,PARD3,PPP3CB,GPM6B,SMO,WNT7B,SPG11,EPHB6,SLITRK3,MAPT,EFNA3,EFNB3,GAP43,EPHA6,FYN,EPHB1,SLIT3,AFG3L2,MTR,SEMA3B,RPS6KA5,UNC5D,ULK2,SEMA3F,FEZ2,SEMA4D,SEMA6C
AXON GUIDANCE%GOBP%GO:0007411	AXON GUIDANCE%GOBP%GO:0007411	Details	148	0.559797791717914	1.72414152882029	2.99680385353345e-05	0.000449945656590803	0	2046	NFIB,EPHA3,SEMA6A,BOC,NELL2,SEMA3D,CNTN5,LHX9,PTPRO,SEMA5B,EFNA5,IGSF9,EPHA5,DSCAML1,NEO1,NRCAM,NTN4,SEMA6D,NRP2,CNTN6,VEGFA,SOS1,CNTN1,LGI1,DCC,LGR6,SIAH1,ANOS1,EFNA1,SMO,WNT7B,EPHB6,EFNA3,EFNB3,GAP43,EPHA6,FYN,EPHB1,SLIT3,SEMA3B,RPS6KA5,UNC5D,SEMA3F,FEZ2,SEMA4D,SEMA6C
AXONOGENESIS%GOBP%GO:0007409	AXONOGENESIS%GOBP%GO:0007409	Details	222	0.474093889816801	1.52685565832839	0.000220793561337189	0.00253958093547626	0	2220	NFIB,EPHA3,SLITRK5,SEMA6A,BOC,NELL2,SEMA3D,CNTN5,LHX9,PTPRO,SEMA5B,EFNA5,IGSF9,COBL,EPHA5,DSCAML1,NEO1,NRCAM,NTN4,SEMA6D,ISL1,NRP2,CNTN6,VEGFA,SPTBN4,SOS1,CNTN1,C12orf57,LGI1,DCC,LGR6,SIAH1,ANOS1,EFNA1,PARD3,PPP3CB,SMO,WNT7B,SPG11,EPHB6,SLITRK3,EFNA3,EFNB3,GAP43,EPHA6,FYN,EPHB1,SLIT3,AFG3L2,SEMA3B,RPS6KA5,UNC5D,ULK2,SEMA3F,FEZ2,SEMA4D,SEMA6C,STXBP1,SEMA3C,ROBO4
BIOCARTA_NTHI_PATHWAY%MSIGDB_C2%BIOCARTA_NTHI_PATHWAY	BIOCARTA_NTHI_PATHWAY%MSIGDB_C2%BIOCARTA_NTHI_PATHWAY	Details	18	0.84626965066877	1.81797175572006	0.000541342057570551	0.00533033086454352	0	885	TGFBR2,NR3C1,CREBBP,SMAD4
BRAIN MORPHOGENESIS%GOBP%GO:0048854	BRAIN MORPHOGENESIS%GOBP%GO:0048854	Details	17	0.785551297334418	1.66637923614419	0.00748112075658127	0.0488310358941908	0	1409	SLC6A4,SPEF2,BBS2,SMO
CAMERA-TYPE EYE DEVELOPMENT%GOBP%GO:0043010	CAMERA-TYPE EYE DEVELOPMENT%GOBP%GO:0043010	Details	116	0.489991798244725	1.46392635421045	0.00626504626272588	0.0425099453147137	0	1551	CRYBA4,GPM6A,CRYBB1,CRYBA1,TSPAN12,CRYBB2,CRYGS,RORB,CRYAA,CRYBA2,USH1C,CRYGC,IFT122,VEGFA,SCAPER,HSF4,ALDH1A3,C12orf57,TDRD7,TWIST1,EFEMP1,SKI,CRYBG3,WNT7B,MFSD2A,CRYBB3,LRP5
