name	description	GS details	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
'DE NOVO' POST-TRANSLATIONAL PROTEIN FOLDING%GOBP%GO:0051084	'DE NOVO' POST-TRANSLATIONAL PROTEIN FOLDING%GOBP%GO:0051084	Details	31	-0.772636835021031	-1.78628120197944	0.00228888821069979	0.0410895025207468	0	16854	HSPE1,HSPA9,DNAJC7,PTGES3,SDF2L1,CCT2,CHCHD4,HSPA5,DNAJB5,UGGT1,HSPA14
'DE NOVO' PROTEIN FOLDING%GOBP%GO:0006458	'DE NOVO' PROTEIN FOLDING%GOBP%GO:0006458	Details	35	-0.787345201161057	-1.86233619744179	0.000684760956175299	0.0180452980608686	0	16854	HSPE1,HSPD1,HSPA9,DNAJC7,PTGES3,SDF2L1,CCT2,CHCHD4,FKBP1A,HSPA5,DNAJB5,UGGT1,HSPA14,DNAJC2,HSPA8
ABC-FAMILY PROTEINS MEDIATED TRANSPORT%REACTOME DATABASE ID RELEASE 81%382556	ABC-FAMILY PROTEINS MEDIATED TRANSPORT%REACTOME DATABASE ID RELEASE 81%382556	Details	97	-0.607846610100952	-1.70300509434654	0.000860477458999623	0.0210037111270415	0	16766	ABCB6,PSMD3,PSMD1,EIF2S1,PSMD11,PSMD7,ABCF1,PSMD14,PSMA7,PSMB3,PSMA5,PSMA3,PSMB2,PSMC2,PSMD8,PSMC4,PSME3,VCP,PSMC3,PSMD13,PSME4,EIF2S2,PSMD12,PSMA1,PSMA2,PSMB4,PSMB1,PSMB5,PSMA6,PSMC1,PSMC6,ABCC4,PSMD2,PSMB6,ABCC1,PSMD6,PSMA4,SEM1,PSMB8,PSMB10,ABCD3,UBA52,PSMC5,PSMD9
ACTIVATION OF APC C AND APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME%R-HSA-176814.5	ACTIVATION OF APC C AND APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME%R-HSA-176814.5	Details	75	-0.694053965108163	-1.87223718070845	4.56527125610071e-05	0.00219651801117391	0	16690	PSMD3,PSMD1,PSMD11,PSMD7,PSMD14,PSMA7,PSMB3,PSMA5,PSMA3,ANAPC1,PSMB2,PSMC2,PSMD8,PSMC4,PSME3,ANAPC7,PSMC3,PSMD13,PSME4,PSMD12,PSMA1,PSMA2,PSMB4,PSMB1,PSMB5,UBE2S,PSMA6,ANAPC15,PSMC1,PSMC6,PSMD2,PSMB6,PSMD6,PSMA4,CDC26,SEM1,PSMB8,PSMB10,BUB3,UBA52,PSMC5,PSMD9,ANAPC10,CDC20,MAD2L1,UBE2C,PSMF1,PSMD4,CCNB1,ANAPC11,PLK1,CCNA2
ACTIVATION OF NF-KAPPAB IN B CELLS%REACTOME%R-HSA-1169091.2	ACTIVATION OF NF-KAPPAB IN B CELLS%REACTOME%R-HSA-1169091.2	Details	65	-0.728954204726522	-1.92156299817888	3.472281281345e-05	0.00177842406595339	0	16806	NFKBIB,PSMD3,PSMD1,PSMD11,PSMD7,PSMD14,PSMA7,PSMB3,PSMA5,CARD11,PSMA3,PSMB2,PSMC2,PSMD8,PSMC4,PSME3,PSMC3,PSMD13,PSME4,PSMD12,PSMA1,PSMA2,PSMB4,PSMB1,PSMB5,PSMA6,PSMC1,PSMC6,PSMD2,PSMB6,PSMD6,PSMA4,SEM1,PSMB8,PSMB10,UBA52,PSMC5,PSMD9
AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646	AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646	Details	78	-0.625426531217283	-1.69789750801304	0.00102786660575605	0.0237381120478425	0	16239	SDHB,CYCS,NDUFS5,NDUFB9,NDUFA6,NDUFAB1,UQCRH,UQCRQ,NDUFB6,COX6A1,NDUFS6,NDUFC1,UQCRHL,NDUFB10,NDUFA9,COX5A,NDUFB4,COX8A,SDHD,COX7B,NDUFV2,UQCRC1,SDHAF2,MT-CO2,UQCR11,NDUFS1,COX7A2,COX4I1,NDUFA4,COX6B1
ALZHEIMER 39 S DISEASE AND MIRNA EFFECTS%WIKIPATHWAYS_20240310%WP2059%HOMO SAPIENS	ALZHEIMER 39 S DISEASE AND MIRNA EFFECTS%WIKIPATHWAYS_20240310%WP2059%HOMO SAPIENS	Details	173	-0.49240882494345	-1.48675179110593	0.00271493212669683	0.0467277342456682	0	17023	DKK4,TUBB2A,WNT3,FADD,WNT4,GPR83,DKK1,CDK5R1,PSMD3,ADRM1,PSMD1,EIF2S1,TUBA4A,WNT3A,PSMD7,KIF5A,IRS4,PSMB3,CASP3,HRAS,CALM1,ATF4,PSMB2,NAE1,PSMC4,CYCS,TUBA1C,XBP1,MAP2K1,IDE,PSMD13,AXIN2,PPP3R1,SLC25A5,PPIF,AXIN1,PSMD12,PSMA2,TUBB4B,ATG101
ALZHEIMER 39 S DISEASE%WIKIPATHWAYS_20240310%WP5124%HOMO SAPIENS	ALZHEIMER 39 S DISEASE%WIKIPATHWAYS_20240310%WP5124%HOMO SAPIENS	Details	173	-0.49240882494345	-1.48675179110593	0.00271493212669683	0.0467277342456682	0	17023	DKK4,TUBB2A,WNT3,FADD,WNT4,GPR83,DKK1,CDK5R1,PSMD3,ADRM1,PSMD1,EIF2S1,TUBA4A,WNT3A,PSMD7,KIF5A,IRS4,PSMB3,CASP3,HRAS,CALM1,ATF4,PSMB2,NAE1,PSMC4,CYCS,TUBA1C,XBP1,MAP2K1,IDE,PSMD13,AXIN2,PPP3R1,SLC25A5,PPIF,AXIN1,PSMD12,PSMA2,TUBB4B,ATG101
AMINO ACID ACTIVATION%GOBP%GO:0043038	AMINO ACID ACTIVATION%GOBP%GO:0043038	Details	41	-0.845560895405404	-2.06210996489833	3.371491031452e-06	0.000281741309746732	0	16790	VARS1,MARS1,YARS1,WARS1,CARS1,NARS1,GARS1,MARS2,TARS1,FARSB,IARS1,LARS1,FARSA,KARS1,AARS1,EARS2,DARS2,RARS1
AMINO ACID AND DERIVATIVE METABOLISM%REACTOME%R-HSA-71291.8	AMINO ACID AND DERIVATIVE METABOLISM%REACTOME%R-HSA-71291.8	Details	323	-0.50596604168835	-1.62528327196212	6.88423414743086e-06	0.000520192773579474	0	16911	CKMT1B,RPL22L1,SLC25A13,ENOPH1,MARS1,SLC7A5,PSMD3,SRM,AZIN1,PSMD1,PSMD11,GLDC,APIP,PSMD7,PYCR2,PSMD14,OAT,PYCR1,GLS,PSMA7,PIPOX,ASNS,PSMB3,PSMA5,ACAT1,SCLY,PSAT1,SHMT1,SLC3A2,IARS1,PSMA3,OAZ1,LARS1,SLC25A15,PSMB2,PSMC2,PSMD8,PSMC4,KARS1,PSME3,AIMP2,EEF1E1,PSMC3,PSMD13,MCCC2,PSME4,PAPSS2,PSMD12,PSMA1,SRR,RARS1,PSMA2,GCSH,BCAT1,MTAP,CBS,PSMB4,GOT2,PSMB1,PSMB5,ODC1,PSMA6,PSMC1,PSMC6,AMD1,MTRR,PSMD2,PSMB6,PSMD6,PSMA4,RPL27,EPRS1,AADAT,ARG2,RPL12,SEM1,PSMB8,SEPHS2,PSPH,RPL36AL,GLUD1,RPS5,PSMB10,NMRAL1,SLC25A10,TXNRD1,ECHS1,RIMKLA,UBA52,SLC25A44,RPL39L,SLC25A12,PPM1K,PSMC5,SERINC2,PSMD9,RPS10,RPS12,RPS26,GATM,FAU,KGD4,PNMT,RPL26L1,RPL8
