name	description	GS details	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
ACTIN CYTOSKELETON ORGANIZATION%GOBP%GO:0030036	ACTIN CYTOSKELETON ORGANIZATION%GOBP%GO:0030036	Details	443	0.53044967872762	1.48107711192525	0.000117333574268721	0.00440938183538845	0	2516	MICAL2,PGM5,FGF10,SMTNL2,INSRR,EMP2,PSTPIP2,AMOT,KANK1,CGNL1,TNNT2,ARHGAP6,CAP2,LCP1,ACTC1,ARHGEF17,TPM1,EPB41L4A,MYLK3,BMP10,MYH6,SSH1,MEF2A,TTN,RHOU,KRT19,EPB41L5,TTC17,FGD6,PROX1,PDGFRA,MSRB2,MYO7A,SH3KBP1,IQSEC2,PRICKLE4,NEBL,S1PR1,WIPF1,SRC,TMOD2,ABL1,XIRP1,VIL1,DSTN,TLE6,CYTH2,OPHN1,ACTN2,SPECC1L,CSRP2,WASF1,DLC1,AUTS2,JMY,OBSCN,SVIL,PDLIM7,SPTBN1,ARHGEF11,TRIOBP,STRIP1,LMOD1,SDCBP,MAGEL2,PIP5K1C,ARHGEF2,ELMO2,TBCK,RUFY3,MINK1,MYO18A,TESK1,HMCN1,SPTB,WASHC1,PDGFRB,FER,NPHP1,NPHP4,ELMO1,RND1,NEDD9,NF1,CLDN19,PPP1R9B,ABI1,FGD1,PHPT1,EVL,RICTOR,SMTN
ACTIN FILAMENT-BASED MOVEMENT%GOBP%GO:0030048	ACTIN FILAMENT-BASED MOVEMENT%GOBP%GO:0030048	Details	81	0.669971825275705	1.61605927217312	0.000837023436656226	0.0205248488270413	0	1898	PKP2,EMP2,KCNH2,TNNT2,ACTC1,TPM1,MYH6,MYO7A,KCNJ8,WIPF1,KCNJ3,VIL1,CACNA1D,CACNA1C,CAMK2D,PARVA,SCN7A
ACTIN-MEDIATED CELL CONTRACTION%GOBP%GO:0070252	ACTIN-MEDIATED CELL CONTRACTION%GOBP%GO:0070252	Details	62	0.719083932052854	1.67519687086517	0.000431586567912235	0.0124591195127755	0	1898	PKP2,EMP2,KCNH2,TNNT2,ACTC1,TPM1,MYH6,KCNJ8,KCNJ3,VIL1,CACNA1D,CACNA1C,CAMK2D,PARVA,SCN7A
ACTIVATION OF ANTERIOR HOX GENES IN HINDBRAIN DEVELOPMENT DURING EARLY EMBRYOGENESIS%REACTOME%R-HSA-5617472.4	ACTIVATION OF ANTERIOR HOX GENES IN HINDBRAIN DEVELOPMENT DURING EARLY EMBRYOGENESIS%REACTOME%R-HSA-5617472.4	Details	70	0.696715499344046	1.64896579917088	0.000562730753921959	0.0151436568566032	0	1319	MEIS1,RARB,HOXB2,PKNOX1,HOXB3,ASH2L,HOXB1,PBX1,KMT2C,HOXB4,RXRA,H2AZ2,AJUBA,NCOA6
ACTIVATION OF HOX GENES DURING DIFFERENTIATION%REACTOME DATABASE ID RELEASE 81%5619507	ACTIVATION OF HOX GENES DURING DIFFERENTIATION%REACTOME DATABASE ID RELEASE 81%5619507	Details	70	0.696715499344046	1.64896579917088	0.000562730753921959	0.0151436568566032	0	1319	MEIS1,RARB,HOXB2,PKNOX1,HOXB3,ASH2L,HOXB1,PBX1,KMT2C,HOXB4,RXRA,H2AZ2,AJUBA,NCOA6
ACTOMYOSIN STRUCTURE ORGANIZATION%GOBP%GO:0031032	ACTOMYOSIN STRUCTURE ORGANIZATION%GOBP%GO:0031032	Details	105	0.636980687557921	1.58346919824617	0.000812209340407415	0.0201097925828488	0	1342	PGM5,TNNT2,ACTC1,TPM1,EPB41L4A,MYLK3,BMP10,MYH6,MEF2A,TTN,KRT19,EPB41L5,PROX1,PDGFRA,NEBL,SRC,TMOD2,ACTN2,CSRP2,OBSCN
ANGIOGENESIS%GOBP%GO:0001525	ANGIOGENESIS%GOBP%GO:0001525	Details	159	0.596227432178053	1.54780605057538	0.000497623846134707	0.0139841108265554	0	1911	MEIS1,BMPER,EPHB2,AMOT,CCBE1,HEY1,SEMA3E,NRP1,NDNF,PKNOX1,HOXB3,GATA2,TGFBI,ADGRA2,JAG1,ANGPT2,PDGFRA,SEMA5A,TCF21,EPHB3,VEGFA,S1PR1,RNF213,TBX4,NRCAM,NRP2,SLC12A6,COL18A1,HAND1,C1GALT1,TBX1,ERAP1,PGF,PARVA,COL4A1,CALCRL,FGFR2,CTNNB1,SRPK2
ANIMAL ORGAN MORPHOGENESIS%GOBP%GO:0009887	ANIMAL ORGAN MORPHOGENESIS%GOBP%GO:0009887	Details	454	0.526520940707358	1.471742167301	9.49888994494389e-05	0.00384251274142284	0	1500	HAND2,ASXL3,MEIS1,NKX3-1,MICAL2,COL2A1,TGFB2,FOXF2,PKP2,FGF10,GATA5,EMP2,BMP5,CRB2,EPHB2,PBX3,ZFPM2,RBM20,TBX5,MEIS2,SDK1,TBX20,IHH,TNNT2,ISL1,HEY1,MEF2C,ACTC1,EFEMP2,NRP1,TPM1,COL1A1,ROBO2,SIX1,GATA3,SMAD6,BMP10,MYH6,SDK2,HOXB3,SLIT3,GLI3,TTN,SOX5,EFNA1,LRP2,GATA4,JAG1,SEMA3C,PDCD4,PBX1,PROX1,PDGFRA,MYO7A,TMT1A,TBX2,TCF21,HOXB4,NPNT,NRG1,MDM4,SALL1,ALX1,ALPK2,FZD6,FGFR3,PBX2,WNT11,ADGRG6,SOX6,MEIS3P1,HNF1B,BBS2,VEGFA,S1PR1,DSCAM,SMAD4,FOLR1,TBX4,AHDC1,NOTCH2,TLE2,ASXL1,ACTA2,MSX2,NRP2,SOX9,DLC1,DSCAML1,COL18A1,ID2,HAND1,SMAD7,ERRFI1,FREM1,TBX1,SPEF2,FBXW11,ATP6V1B1,BRAF,ZFPM1,CITED2,PERP,NHERF1,PTCH1
AORTA MORPHOGENESIS%GOBP%GO:0035909	AORTA MORPHOGENESIS%GOBP%GO:0035909	Details	21	0.834418198147258	1.64646764720761	0.00162524340319836	0.0329412420968881	0	1408	TGFB2,HEY1,EFEMP2,JAG1,PROX1,TBX2,TBX1
AORTIC VALVE DEVELOPMENT%GOBP%GO:0003176	AORTIC VALVE DEVELOPMENT%GOBP%GO:0003176	Details	43	0.734439430789621	1.62578321389546	0.00189355612731635	0.0360059130676232	0	1299	GATA5,TBX20,HEY1,ROBO2,GATA3,SMAD6,SLIT3,EFNA1,GATA4,JAG1,EMILIN1,SOX9,NFATC1
