name	description	GS details	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
ABERRANT REGULATION OF MITOTIC CELL CYCLE DUE TO RB1 DEFECTS%REACTOME DATABASE ID RELEASE 81%9687139	ABERRANT REGULATION OF MITOTIC CELL CYCLE DUE TO RB1 DEFECTS%REACTOME DATABASE ID RELEASE 81%9687139	Details	36	-0.63914221014332	-1.5939587693384	0.00227248262746833	0.0178047922496475	0	17010	CDK6,CDC23,UBE2E1,RB1,E2F1,E2F3,CDK2,CDC27,CCND2,SKP2,ANAPC1,UBE2C,CCND1,CCNE1,ANAPC5,CDK4,TFDP2,CDKN1A,FZR1
ACTIVATION OF ANTERIOR HOX GENES IN HINDBRAIN DEVELOPMENT DURING EARLY EMBRYOGENESIS%REACTOME%R-HSA-5617472.4	ACTIVATION OF ANTERIOR HOX GENES IN HINDBRAIN DEVELOPMENT DURING EARLY EMBRYOGENESIS%REACTOME%R-HSA-5617472.4	Details	70	-0.624553277177281	-1.70371752564107	2.79334838290341e-05	0.000550948931050297	0	16959	NCOR1,PBX1,CREBBP,AJUBA,EP300,YY1,CNOT6,RBBP4,NCOA6,EZH2,PKNOX1,SUZ12,RARA,KMT2C,CTCF,PAGR1,KDM6A,POLR2D,POLR2A,ASH2L,HOXB2,MEIS1,POLR2B,H2AX,POLR2G,HOXB3,H2BC5,WDR5,RBBP7,HDAC3,HOXC4
ACTIVATION OF APC C AND APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME%R-HSA-176814.5	ACTIVATION OF APC C AND APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME%R-HSA-176814.5	Details	75	-0.537374293532007	-1.4772815262394	0.0061280904115368	0.0343508404268934	0	16918	CDC23,UBE2E1,PSMD5,BUB1B,CCNB1,PTTG1,PSME1,CCNA2,PSMD10,CDC27,CDK1,MAD2L1,CDC20,NEK2,ANAPC1,UBE2C,ANAPC5,PLK1,PSMB2,PSME2,RPS27A,PSMA4,BUB3
ACTIVATION OF BH3-ONLY PROTEINS%REACTOME%R-HSA-114452.5	ACTIVATION OF BH3-ONLY PROTEINS%REACTOME%R-HSA-114452.5	Details	30	-0.632879648691314	-1.53357475504316	0.00770241658757392	0.0400967604489196	0	16848	TP53BP2,BMF,YWHAZ,YWHAH,E2F1,TP53,PPP3R1,DYNLL1,YWHAQ,BBC3,MAPK8,AKT1,AKT3,TFDP2
ACTIVATION OF GENE EXPRESSION BY SREBF (SREBP)%REACTOME%R-HSA-2426168.5	ACTIVATION OF GENE EXPRESSION BY SREBF (SREBP)%REACTOME%R-HSA-2426168.5	Details	40	-0.665471900166587	-1.68596896523186	0.000248467782010933	0.00310633638494377	0	17025	SQLE,ELOVL6,HMGCS1,CREBBP,CYP51A1,NCOA6,MED1,ACACA,NFYA,SCD,GGPS1,FASN,TBL1XR1,SP1,TGS1,CARM1,CHD9,SREBF2,FDFT1,MVK
ACTIVATION OF GTPASE ACTIVITY%GOBP%GO:0090630	ACTIVATION OF GTPASE ACTIVITY%GOBP%GO:0090630	Details	32	-0.637422596452058	-1.5612058321788	0.00477728190801011	0.0302839567985123	0	17022	SIPA1L1,DOCK7,ECT2,MTSS2,RALGAPA1,ARHGAP42,ARHGEF10,RALGAPB,SYDE1,BCR,CORO1C,SYDE2,RANGAP1,SCRIB
ACTIVATION OF HOX GENES DURING DIFFERENTIATION%REACTOME DATABASE ID RELEASE 81%5619507	ACTIVATION OF HOX GENES DURING DIFFERENTIATION%REACTOME DATABASE ID RELEASE 81%5619507	Details	70	-0.624553277177281	-1.70371752564107	2.79334838290341e-05	0.000550948931050297	0	16959	NCOR1,PBX1,CREBBP,AJUBA,EP300,YY1,CNOT6,RBBP4,NCOA6,EZH2,PKNOX1,SUZ12,RARA,KMT2C,CTCF,PAGR1,KDM6A,POLR2D,POLR2A,ASH2L,HOXB2,MEIS1,POLR2B,H2AX,POLR2G,HOXB3,H2BC5,WDR5,RBBP7,HDAC3,HOXC4
ACTIVATION OF RRNA EXPRESSION BY ERCC6 (CSB) AND EHMT2 (G9A)%REACTOME DATABASE ID RELEASE 81%427389	ACTIVATION OF RRNA EXPRESSION BY ERCC6 (CSB) AND EHMT2 (G9A)%REACTOME DATABASE ID RELEASE 81%427389	Details	27	-0.674868572310633	-1.60561860322111	0.00268344021959896	0.0200973217390012	0	16980	HDAC2,ERCC6,GATAD2A,RBBP4,CHD4,GATAD2B,MTA3,CBX3,EHMT2
ACTIVATION OF THE MRNA UPON BINDING OF THE CAP-BINDING COMPLEX AND EIFS, AND SUBSEQUENT BINDING TO 43S%REACTOME DATABASE ID RELEASE 81%72662	ACTIVATION OF THE MRNA UPON BINDING OF THE CAP-BINDING COMPLEX AND EIFS, AND SUBSEQUENT BINDING TO 43S%REACTOME DATABASE ID RELEASE 81%72662	Details	59	-0.552432602598543	-1.47652459918833	0.00845675574297828	0.0426767282504987	0	16308	EIF3M,EIF3A,RPS23,PABPC1,EIF2S2,RPS17,RPS4X,EIF2S3,RPS24,EIF3D,EIF4E,RPS6,EIF3F,EIF3L,EIF3E,RPS11,RPS2,RPS5,EIF4B,RPS27A,RPS18,RPS3A,EIF3B,EIF3C,RPS19,RPS7,RPS8,EIF2S1,RPS10,EIF3H,EIF4G1,EIF4EBP1,EIF3I,RPS20,EIF3J,RPS3,EIF4A1,RPS15A,EIF3G,RPSA,RPS25
ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME%R-HSA-68962.6	ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME%R-HSA-68962.6	Details	32	-0.634386905000849	-1.55377067185549	0.0055150393672218	0.0330915148723225	0	16714	CDC7,MCM6,POLE3,MCM2,GMNN,CDC6,CDK2,MCM3,MCM4,DBF4,MCM7,ORC6,CDT1,MCM10,MCM5,CDC45,POLE,RPA1,PRIM2,ORC1,MCM8,PRIM1,POLA1
ALZHEIMER DISEASE-AMYLOID SECRETASE PATHWAY%PANTHER PATHWAY%P00003	ALZHEIMER DISEASE-AMYLOID SECRETASE PATHWAY%PANTHER PATHWAY%P00003	Details	50	-0.611098782248937	-1.59728324080595	0.00120433095941173	0.0110690389626974	0	16620	ADAM17,PRKCI,MAPK6,MAPK7,PSEN1,PRKCA,MAPK1,APBA1,BACE1,PRKCZ,MAPK14,PKN2,KLC1,CACNB2,CACNB1,MAPK8,APBA2,MAPK13,NCSTN
