name	description	GS details	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
ACTIVATION OF ANTERIOR HOX GENES IN HINDBRAIN DEVELOPMENT DURING EARLY EMBRYOGENESIS%REACTOME%R-HSA-5617472.4	ACTIVATION OF ANTERIOR HOX GENES IN HINDBRAIN DEVELOPMENT DURING EARLY EMBRYOGENESIS%REACTOME%R-HSA-5617472.4	Details	70	-0.602414089016902	-1.65473913924141	0.000266367100188773	0.00333011309704508	0	16978	NCOR1,PBX1,AJUBA,CREBBP,YY1,EP300,CNOT6,NCOA6,PKNOX1,RBBP4,KMT2C,EZH2,SUZ12,CTCF,RARA,POLR2D,KDM6A,PAGR1,POLR2A,ASH2L,MEIS1,HOXB2,POLR2G,RBBP5,HDAC3,H2AX,RBBP7,WDR5,POLR2B,HOXC4,DPY30,HOXB3,NCOA3,PAXIP1
ACTIVATION OF GENE EXPRESSION BY SREBF (SREBP)%REACTOME%R-HSA-2426168.5	ACTIVATION OF GENE EXPRESSION BY SREBF (SREBP)%REACTOME%R-HSA-2426168.5	Details	40	-0.645790378057518	-1.6388081997372	0.00114620949751655	0.00938396863147979	0	17001	SQLE,ELOVL6,CREBBP,HMGCS1,MED1,NCOA6,NFYA,ACACA,SCD,SP1,GGPS1,CYP51A1,TBL1XR1,FASN,CARM1,TGS1
ACTIVATION OF GTPASE ACTIVITY%GOBP%GO:0090630	ACTIVATION OF GTPASE ACTIVITY%GOBP%GO:0090630	Details	32	-0.650235151026367	-1.59264576615909	0.00349637157122914	0.0217487324670678	0	17024	SIPA1L1,DOCK7,ECT2,ARHGAP42,RALGAPB,RALGAPA1,ARHGEF10,MTSS2,CORO1C,SYDE2,SYDE1,EPHA2,SCRIB,RANGAP1
ACTIVATION OF HOX GENES DURING DIFFERENTIATION%REACTOME DATABASE ID RELEASE 81%5619507	ACTIVATION OF HOX GENES DURING DIFFERENTIATION%REACTOME DATABASE ID RELEASE 81%5619507	Details	70	-0.602414089016902	-1.65473913924141	0.000266367100188773	0.00333011309704508	0	16978	NCOR1,PBX1,AJUBA,CREBBP,YY1,EP300,CNOT6,NCOA6,PKNOX1,RBBP4,KMT2C,EZH2,SUZ12,CTCF,RARA,POLR2D,KDM6A,PAGR1,POLR2A,ASH2L,MEIS1,HOXB2,POLR2G,RBBP5,HDAC3,H2AX,RBBP7,WDR5,POLR2B,HOXC4,DPY30,HOXB3,NCOA3,PAXIP1
ACTIVATION OF RRNA EXPRESSION BY ERCC6 (CSB) AND EHMT2 (G9A)%REACTOME DATABASE ID RELEASE 81%427389	ACTIVATION OF RRNA EXPRESSION BY ERCC6 (CSB) AND EHMT2 (G9A)%REACTOME DATABASE ID RELEASE 81%427389	Details	27	-0.664642995432789	-1.5808388980832	0.00486717729333709	0.0279685365869021	0	16984	HDAC2,GATAD2A,ERCC6,RBBP4,GATAD2B,CHD4,MTA3,EHMT2,CBX3,MTA2
ACTIVATION OF THE MRNA UPON BINDING OF THE CAP-BINDING COMPLEX AND EIFS, AND SUBSEQUENT BINDING TO 43S%REACTOME DATABASE ID RELEASE 81%72662	ACTIVATION OF THE MRNA UPON BINDING OF THE CAP-BINDING COMPLEX AND EIFS, AND SUBSEQUENT BINDING TO 43S%REACTOME DATABASE ID RELEASE 81%72662	Details	59	-0.591528329975332	-1.58847306018128	0.00150105783209427	0.0114858051706394	0	16341	EIF3A,EIF3M,RPS23,RPS17,RPS6,RPS24,PABPC1,RPS4X,EIF3D,EIF2S3,EIF2S2,RPS2,EIF3E,RPS27A,RPS11,RPS5,EIF4E,EIF3L,RPS3A,RPS15A,EIF3H,RPS18,EIF3F,RPS10,RPS7,RPS19,RPS8,EIF4B,RPS20,EIF2S1,EIF3C,EIF3I,RPS25,RPS3,RPSA,EIF4G1,RPS29,EIF3G,RPS12,EIF3B
ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME%R-HSA-68962.6	ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME%R-HSA-68962.6	Details	32	-0.647690225540082	-1.58641238305988	0.00399944661744916	0.0240307336494036	0	16726	CDC7,MCM6,POLE3,MCM2,MCM3,CDK2,MCM4,CDC6,GMNN,DBF4,MCM5,MCM10,MCM7,CDT1,MCM8,RPA1,PRIM1,ORC6,PRIM2,CDC45,ORC1,POLE,POLA1,ORC5
ALZHEIMER DISEASE-AMYLOID SECRETASE PATHWAY%PANTHER PATHWAY%P00003	ALZHEIMER DISEASE-AMYLOID SECRETASE PATHWAY%PANTHER PATHWAY%P00003	Details	50	-0.566891838833976	-1.48778332968632	0.0108651185176272	0.048858962155064	0	16360	PRKCI,ADAM17,APBA1,MAPK6,PSEN1,MAPK7,MAPK14,PRKCA,KLC1,BACE1,PRKCZ,MAPK1,CACNB1,MAPK8,PKN2,APBA2,CACNB2,NCSTN
ALZHEIMER DISEASE-PRESENILIN PATHWAY%PANTHER PATHWAY%P00004	ALZHEIMER DISEASE-PRESENILIN PATHWAY%PANTHER PATHWAY%P00004	Details	79	-0.57008478652062	-1.59014618909639	0.000685479264252256	0.00646816691659274	0	16947	FZD1,LRP6,DVL3,NOTCH2,FZD2,NECTIN1,CTNNB1,ACTG2,CDH3,GSK3B,TCF7L2,PSEN1,FZD3,DVL2,FZD6,ERBB4,AFDN,FZD8,LEF1,BACE1,WNT5B,TRIM2
AMPLIFICATION OF SIGNAL FROM THE KINETOCHORES%REACTOME DATABASE ID RELEASE 81%141424	AMPLIFICATION OF SIGNAL FROM THE KINETOCHORES%REACTOME DATABASE ID RELEASE 81%141424	Details	90	-0.589035068874201	-1.66769652271691	6.79125458054552e-05	0.00115884585879175	0	16946	KIF2A,CENPF,BUB1,CKAP5,SPDL1,NUP160,RCC2,KNL1,BUB1B,KIF18A,TAOK1,DYNC1I2,NDC80,CENPE,KNTC1,DYNLL1,PPP2R5E,XPO1,CENPK,SGO2,NUP107,BIRC5,CENPI,SEC13,MAPRE1,SKA2,CENPH,ERCC6L,ZWINT,MAD2L1,ZWILCH,NUP133,CENPU,KIF2C,CDCA8,NUF2,PPP2R5D,NUP43,CENPC,CDC20,SKA1,SGO1,RANBP2,NSL1,RANGAP1,PLK1,DYNC1LI1,DYNC1H1,BUB3,CENPA,ZW10,SPC24,PAFAH1B1,INCENP,PPP2R5C,CLASP1,CENPL,NUP37,CLASP2,NDEL1,SPC25
