name	description	GS details	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY%PATHWHIZ%PW000525	2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY%PATHWHIZ%PW000525	Details	21	0.782922601169958	2.08909943598463	6.20858987098132e-05	0.00108926335008772	0	2901	MPC1,SDHD,SDHB,ACO2,SUCLG1,PDHA1,SDHC,IDH3B,SDHA,IDH3A,MDH1,SUCLG2,DLAT,CS,DLST
2-METHYL-3-HYDROXYBUTYRYL-COA DEHYDROGENASE DEFICIENCY%PATHWHIZ%PW000061	2-METHYL-3-HYDROXYBUTYRYL-COA DEHYDROGENASE DEFICIENCY%PATHWHIZ%PW000061	Details	28	0.588020673551546	1.67314048441963	0.00797182054134223	0.0399913366967334	0	2775	ALDH2,ACAT1,AOX1,ACADM,AUH,ACADSB,HIBADH,ACAA2,ACADS,PCCA,HMGCS2,ECHS1
3-HYDROXY-3-METHYLGLUTARYL-COA LYASE DEFICIENCY%PATHWHIZ%PW000063	3-HYDROXY-3-METHYLGLUTARYL-COA LYASE DEFICIENCY%PATHWHIZ%PW000063	Details	28	0.588020673551546	1.67314048441963	0.00797182054134223	0.0399913366967334	0	2775	ALDH2,ACAT1,AOX1,ACADM,AUH,ACADSB,HIBADH,ACAA2,ACADS,PCCA,HMGCS2,ECHS1
3-HYDROXYISOBUTYRIC ACID DEHYDROGENASE DEFICIENCY%SMPDB%SMP0000521	3-HYDROXYISOBUTYRIC ACID DEHYDROGENASE DEFICIENCY%SMPDB%SMP0000521	Details	28	0.588020673551546	1.67314048441963	0.00797182054134223	0.0399913366967334	0	2775	ALDH2,ACAT1,AOX1,ACADM,AUH,ACADSB,HIBADH,ACAA2,ACADS,PCCA,HMGCS2,ECHS1
3-HYDROXYISOBUTYRIC ACIDURIA%PATHWHIZ%PW000498	3-HYDROXYISOBUTYRIC ACIDURIA%PATHWHIZ%PW000498	Details	28	0.588020673551546	1.67314048441963	0.00797182054134223	0.0399913366967334	0	2775	ALDH2,ACAT1,AOX1,ACADM,AUH,ACADSB,HIBADH,ACAA2,ACADS,PCCA,HMGCS2,ECHS1
3-METHYLCROTONYL-COA CARBOXYLASE DEFICIENCY TYPE I%SMPDB%SMP0000237	3-METHYLCROTONYL-COA CARBOXYLASE DEFICIENCY TYPE I%SMPDB%SMP0000237	Details	28	0.588020673551546	1.67314048441963	0.00797182054134223	0.0399913366967334	0	2775	ALDH2,ACAT1,AOX1,ACADM,AUH,ACADSB,HIBADH,ACAA2,ACADS,PCCA,HMGCS2,ECHS1
3-METHYLGLUTACONIC ACIDURIA TYPE I%SMPDB%SMP0000139	3-METHYLGLUTACONIC ACIDURIA TYPE I%SMPDB%SMP0000139	Details	28	0.588020673551546	1.67314048441963	0.00797182054134223	0.0399913366967334	0	2775	ALDH2,ACAT1,AOX1,ACADM,AUH,ACADSB,HIBADH,ACAA2,ACADS,PCCA,HMGCS2,ECHS1
3-METHYLGLUTACONIC ACIDURIA TYPE III%SMPDB%SMP0000140	3-METHYLGLUTACONIC ACIDURIA TYPE III%SMPDB%SMP0000140	Details	28	0.588020673551546	1.67314048441963	0.00797182054134223	0.0399913366967334	0	2775	ALDH2,ACAT1,AOX1,ACADM,AUH,ACADSB,HIBADH,ACAA2,ACADS,PCCA,HMGCS2,ECHS1
3-METHYLGLUTACONIC ACIDURIA TYPE IV%SMPDB%SMP0000141	3-METHYLGLUTACONIC ACIDURIA TYPE IV%SMPDB%SMP0000141	Details	28	0.588020673551546	1.67314048441963	0.00797182054134223	0.0399913366967334	0	2775	ALDH2,ACAT1,AOX1,ACADM,AUH,ACADSB,HIBADH,ACAA2,ACADS,PCCA,HMGCS2,ECHS1
ABC TRANSPORTERS IN LIPID HOMEOSTASIS%REACTOME%R-HSA-1369062.5	ABC TRANSPORTERS IN LIPID HOMEOSTASIS%REACTOME%R-HSA-1369062.5	Details	16	0.774167314837628	1.93491104327556	0.0011071569790431	0.0091676062241235	0	575	ABCD2,ABCA6,ABCA9,ABCA5,ABCA10
