name	description	GS details	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS%REACTOME DATABASE ID RELEASE 81%176187	ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS%REACTOME DATABASE ID RELEASE 81%176187	Details	37	-0.814976409973646	-1.84137171848308	9.55598410928037e-05	0.0021830955064043	0	16935	ORC1,MCM4,MCM6,RFC4,CHEK1,CDC7,MCM5,MCM3,CDC25A,CDC6,ORC2,ORC6,MCM10,RPA3,RFC2,MCM7,MCM2,MCM8,RPA1,RFC5,CDC45,CLSPN,RFC3,DBF4,RAD1
ACTIVATION OF MATRIX METALLOPROTEINASES%REACTOME DATABASE ID RELEASE 81%1592389	ACTIVATION OF MATRIX METALLOPROTEINASES%REACTOME DATABASE ID RELEASE 81%1592389	Details	23	-0.78471150254802	-1.62932289132512	0.0048296944811244	0.049473209112292	0	16911	MMP25,SPOCK3,KLKB1,MMP17
ACTIVATION OF THE MRNA UPON BINDING OF THE CAP-BINDING COMPLEX AND EIFS, AND SUBSEQUENT BINDING TO 43S%REACTOME DATABASE ID RELEASE 81%72662	ACTIVATION OF THE MRNA UPON BINDING OF THE CAP-BINDING COMPLEX AND EIFS, AND SUBSEQUENT BINDING TO 43S%REACTOME DATABASE ID RELEASE 81%72662	Details	59	-0.675806253416267	-1.65343262339642	0.00231083610251709	0.0282575341694467	0	16194	RPS17,RPS3,RPS15,RPS27,RPS10,RPS25,EIF3B,RPS6,RPS21,RPS20,RPS7,RPS15A,RPSA,RPS24,EIF4B,EIF3F,RPS2,RPS12,RPS27A,RPS23,PABPC1,EIF3L,RPS29,RPS19,RPS9,RPS8,EIF1AX,RPS13,RPS5,RPS18,EIF3G,RPS3A,RPS16,EIF4G1,RPS11
ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME%R-HSA-68962.6	ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME%R-HSA-68962.6	Details	32	-0.850359010980647	-1.87545227089861	1.01267055387406e-05	0.000287119227127417	0	16935	ORC1,MCM4,MCM6,CDC7,PRIM1,MCM5,MCM3,CDC6,PRIM2,ORC2,ORC6,CDT1,MCM10,RPA3,POLE,MCM7,MCM2,MCM8,GMNN,RPA1,POLE2,CDC45,POLA1,DBF4
AMINO ACID AND DERIVATIVE METABOLISM%REACTOME%R-HSA-71291.8	AMINO ACID AND DERIVATIVE METABOLISM%REACTOME%R-HSA-71291.8	Details	323	-0.475241499739864	-1.44435266019538	0.0018730404332424	0.0242050189112429	0	16987	ASS1,GLDC,CRYM,IDO1,NMRAL1,MTAP,SEM1,PYCR3,RPL27A,RPL11,RPS17,RPS3,RPL17,RPL41,RPL12,RPS15,RPL13A,RPS27,RPS10,RPS25,PRODH,RPL4,RPL28,GSTZ1,RPS6,ASL,RPL35,RPL19,RPL38,MTRR,ASRGL1,RPL36,RPS21,RPL31,RPS20,SECISBP2,RPS7,RPS15A,RPL7A,AFMID,SERINC2,CKMT1B,RPSA,RPL6,RPS24,RIMKLB,AADAT,RPL23A,RPL32,RPL24,RPLP2,RPS2,RPS12,RPL15,RPS27A,RPL18A,RPL29,RPL14,EEFSEC,RPS23,RPL7,SLC25A13,RPL37A,AMD1,RPS29,RPS19,GLUD2,PSTK,RPL30,AZIN1,RPS9,RPS8,UBA52,RPS13,RPLP0,RPL26,RPS5,GCSH,RPS18,RPL37,PHYKPL,RPL39L,PSME3,RPL35A,SCLY,RPL22,RARS1,RPS3A,RPL18,RPL8,RPL36A,RPS16,RPL10A,RPL27,RPL13,RPLP1,PIPOX,RPL5,RPS11,ADO,RPL34,TSTD1,BCKDK,SHMT1,RIDA
AMPLIFICATION OF SIGNAL FROM THE KINETOCHORES%REACTOME DATABASE ID RELEASE 81%141424	AMPLIFICATION OF SIGNAL FROM THE KINETOCHORES%REACTOME DATABASE ID RELEASE 81%141424	Details	90	-0.658239329161893	-1.71854507574463	0.000240330531137921	0.00512194363509039	0	16788	RCC2,ERCC6L,NUDC,CENPH,NUP160,CENPP,CENPU,NUP107,DYNLL2,KNTC1,RPS27,CENPM,DSN1,BUB1,NUP85,CENPO,INCENP,SPDL1,ZW10,SPC25,PMF1,BUB3,ITGB3BP,ZWINT,CENPN,CDC20,CENPI,PPP1CC,PPP2R1B,MAD2L1,CLASP2,CENPF,PPP2R5E,BUB1B,CENPK,MAD1L1,CENPS,CDCA8,CENPT,PPP2R5D,CENPA,NDE1,CENPQ,PLK1,DYNLL1,CKAP5,NDC80,SPC24,DYNC1H1,NUP43,NUP37
AMPLIFICATION OF SIGNAL FROM UNATTACHED KINETOCHORES VIA A MAD2 INHIBITORY SIGNAL%REACTOME DATABASE ID RELEASE 81%141444	AMPLIFICATION OF SIGNAL FROM UNATTACHED KINETOCHORES VIA A MAD2 INHIBITORY SIGNAL%REACTOME DATABASE ID RELEASE 81%141444	Details	90	-0.658239329161893	-1.71854507574463	0.000240330531137921	0.00512194363509039	0	16788	RCC2,ERCC6L,NUDC,CENPH,NUP160,CENPP,CENPU,NUP107,DYNLL2,KNTC1,RPS27,CENPM,DSN1,BUB1,NUP85,CENPO,INCENP,SPDL1,ZW10,SPC25,PMF1,BUB3,ITGB3BP,ZWINT,CENPN,CDC20,CENPI,PPP1CC,PPP2R1B,MAD2L1,CLASP2,CENPF,PPP2R5E,BUB1B,CENPK,MAD1L1,CENPS,CDCA8,CENPT,PPP2R5D,CENPA,NDE1,CENPQ,PLK1,DYNLL1,CKAP5,NDC80,SPC24,DYNC1H1,NUP43,NUP37
ANTERIOR/POSTERIOR AXIS SPECIFICATION%GOBP%GO:0009948	ANTERIOR/POSTERIOR AXIS SPECIFICATION%GOBP%GO:0009948	Details	29	-0.834314016882921	-1.8062777445638	6.6347391350521e-05	0.00159331239252027	0	17026	LHX1,WNT8A,RIPPLY1,CRIPTO,MESP2,LEFTY2,OTX2,FZD5,MESP1,FOXA2,CER1,TBXT,LEFTY1
ASSEMBLY OF THE PRE-REPLICATIVE COMPLEX%REACTOME%R-HSA-68867.10	ASSEMBLY OF THE PRE-REPLICATIVE COMPLEX%REACTOME%R-HSA-68867.10	Details	94	-0.638160454497937	-1.67797230679503	0.000641861007916286	0.0110234609426981	0	16935	ORC1,MCM4,MCM6,MCM5,MCM3,CDC6,ORC2,ORC6,CDT1,ANAPC1,SEM1,MCM7,MCM2,MCM8,GMNN,KPNB1,H2AX,RPS27A,ORC3,UBA52,UBE2C,PSME3
ATR SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ATR SIGNALING PATHWAY	ATR SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ATR SIGNALING PATHWAY	Details	39	-0.715494656262001	-1.63005121426068	0.00470002247022695	0.048378999527409	0	16861	RFC4,CHEK1,CDC25A,CDC6,RAD51,BRCA2,PPP2R2B,FANCD2,RFC2,MCM7,MCM2,TIMELESS,RPA1,RFC5,CLSPN,RFC3,RAD1,TIPIN,NBN,ATR,RAD9A,CCNA2,CDC25C,CDK2,PLK1,TOPBP1,RPA2
