name	description	GS details	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
ACTIN FILAMENT ORGANIZATION%GOBP%GO:0007015	ACTIN FILAMENT ORGANIZATION%GOBP%GO:0007015	Details	226	0.589554622374657	1.70921192885035	1.84066736256527e-05	0.000495342305917458	0	1894	LMOD1,TPM1,NEBL,CORO6,XIRP1,TMOD1,ACTC1,SVIL,LMOD2,TTN,MICAL2,CNN1,EZR,TPM2,CAP2,CFL2,DPYSL3,ACTA1,SHROOM3,CALD1,SORBS1,SH3KBP1,WIPF3,EMP2,WASF1,WHAMM,ACTR3,WASL,RHOD,RHOQ,WDR1,MYO5B,ITGB1,PLS3,TCAP,ACTN1,TWF1,DSTN,CORO1C,ADD1,SHROOM2,MYO1D,ARPC5,RHOF,LIMA1,SPIRE1,RHOBTB2,MYO1C,TMOD2,BCAR1
ACTIN FILAMENT-BASED MOVEMENT%GOBP%GO:0030048	ACTIN FILAMENT-BASED MOVEMENT%GOBP%GO:0030048	Details	81	0.758449519182554	1.93093503238762	4.16403073464478e-06	0.000125335351638526	0	1183	MYH6,KCNN2,TNNT2,MYH7,TPM1,RYR2,CACNA1C,CACNA1D,SNTA1,ACTC1,CAMK2D,MYL6,CACNB2,PARVA,KCNH2,PKP2,KCNE1,KCNJ3,ACTN4,KCNA5,KCNJ5,EMP2,LIMCH1,ATP1A1,WASL,MYH10,NEDD4L
ACTIN NUCLEATION%GOBP%GO:0045010	ACTIN NUCLEATION%GOBP%GO:0045010	Details	22	0.837312056822339	1.71234195578438	0.00186604914678837	0.0242050189112429	0	1692	LMOD1,LMOD2,WIPF3,WHAMM,ACTR3,ARPC5
ACTION POTENTIAL%GOBP%GO:0001508	ACTION POTENTIAL%GOBP%GO:0001508	Details	71	0.714470345746052	1.78353349862343	0.000333757483468575	0.00688212265424973	0	768	KCNN2,SLC8A1,RYR2,CACNA1C,CACNA1D,SNTA1,ATP1B1,HCN4,KCNIP2,CACNB2,KCNH2,PKP2,SRI,KCNE1,KCNJ3,TRPM4,KCNA5,KCNJ5
ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY%WIKIPATHWAYS_20240310%WP2118%HOMO SAPIENS	ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY%WIKIPATHWAYS_20240310%WP2118%HOMO SAPIENS	Details	53	0.708822199462349	1.69033258582748	0.00232253705502301	0.0282575341694467	0	1386	SLC8A1,ACTN2,CTNNA3,RYR2,CACNA1C,CACNG6,SGCB,PKP2,ATP2A2,ITGB3,DAG1,ACTN4,ITGAV,LMNA,ITGB1,ACTN1,CACNG4
ATP METABOLIC PROCESS%GOBP%GO:0046034	ATP METABOLIC PROCESS%GOBP%GO:0046034	Details	125	0.593603955268847	1.60566857382226	0.00142342965207312	0.0199562951883364	0	1733	MYH6,MYH7,ATP1B1,PRKAG2,HK1,ENO3,PFKP,NDUFA9,SDHB,SDHA,PGAM2,ATP5PF,ATP5MC3,NDUFS1,NDUFA8,PFKM,ATP5PB,NMNAT1,FOXK1,NDUFA5,ATP5F1C,NDUFB5,ATP5MK,ATP5F1B,GCK
ATRIAL CARDIAC MUSCLE TISSUE DEVELOPMENT%GOBP%GO:0003228	ATRIAL CARDIAC MUSCLE TISSUE DEVELOPMENT%GOBP%GO:0003228	Details	15	0.908513004562101	1.74028072155154	0.000461456819178145	0.00874839480179224	0	1134	MYH6,NKX2-5,NOG,TBX5,HCN4,TBX18
BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	Details	66	0.752322212879447	1.85752785311795	3.8211747381189e-05	0.000970731230471725	0	1878	TGM2,VCAM1,LAMA4,THBS1,COL11A2,LAMB3,ITGA3,LAMB2,COL3A1,NPNT,COL2A1,ITGAV,LAMC1,LAMB1,LAMA1,ITGA11,MDK,COL6A3,ITGB1,VTN,NID1,COL5A2,COL1A2,COL1A1,COL7A1,SPP1,COL11A1
BIOCARTA_ALK_PATHWAY%MSIGDB_C2%BIOCARTA_ALK_PATHWAY	BIOCARTA_ALK_PATHWAY%MSIGDB_C2%BIOCARTA_ALK_PATHWAY	Details	30	0.823741751224636	1.78349279101644	0.000745810300956392	0.0121452339009591	0	1040	MEF2C,NKX2-5,NOG,BMP5,GATA4,BMP7,NPPA,NPPB,TGFBR3
BIOCARTA_NFAT_PATHWAY%MSIGDB_C2%BIOCARTA_NFAT_PATHWAY	BIOCARTA_NFAT_PATHWAY%MSIGDB_C2%BIOCARTA_NFAT_PATHWAY	Details	38	0.78073607652803	1.7606549495575	0.000905406570664827	0.0140249686104691	0	1020	NFATC2,MEF2C,NKX2-5,HAND2,GATA4,PPP3CC,ACTA1,CAMK1G,MAPK1,EDN1,NPPA,PPP3CA
BLOOD VESSEL DEVELOPMENT%GOBP%GO:0001568	BLOOD VESSEL DEVELOPMENT%GOBP%GO:0001568	Details	242	0.498778154837544	1.45644823511644	0.00333677603877016	0.037375422614161	0	1450	MEF2C,CDH13,ACTA2,NKX2-5,NOG,ANGPT1,TBX5,TGFB2,ADAMTS9,THBS1,CCN3,RSPO3,MYOCD,TBX2,TBX20,PARVA,NRP2,SLIT2,ATP7A,SEMA5A,AMOTL2,TNNI3,ITGB3,WT1,ROBO2,ESM1,CALD1,OSR1,NRP1,ITGAV,GDF2,SERPINE1,ENPEP,LEPR,TGFBR3,AHR,EGF,C1GALT1,TEK,SRF,GPC3,VEGFB,PTK2B,CCL2
CALCIUM REGULATION IN CARDIAC CELLS%WIKIPATHWAYS_20240310%WP536%HOMO SAPIENS	CALCIUM REGULATION IN CARDIAC CELLS%WIKIPATHWAYS_20240310%WP536%HOMO SAPIENS	Details	101	0.676480208965716	1.77840366876422	5.92203857206023e-05	0.00145778554151762	0	1077	SLC8A1,PKIA,CHRM2,PLN,RYR2,CACNA1C,ATP1B1,CAMK2A,CAMK2D,ATP1B2,GNG12,ATP2A2,ADCY9,PRKCH,KCNJ3,KCNJ5,GNG5,PRKCE,PRKCA,ANXA6,RGS4,GJA3,GNAS
CALCIUM-MEDIATED SIGNALING%GOBP%GO:0019722	CALCIUM-MEDIATED SIGNALING%GOBP%GO:0019722	Details	99	0.676899524693339	1.77453227716278	9.26447492606039e-05	0.00212414008142273	0	1020	SLC8A1,NFATC2,RYR2,CACNA1C,VCAM1,ATP1B1,HRC,NCALD,CAMK2D,RCAN1,PPP3CC,PRNP,ATP2A2,TNNI3,EDN1,TRPM4,NUDT4,CCRL2,RCAN2,PPP3CA
CARDIAC ATRIUM DEVELOPMENT%GOBP%GO:0003230	CARDIAC ATRIUM DEVELOPMENT%GOBP%GO:0003230	Details	26	0.832609427588123	1.75405735065061	0.000999911119011643	0.0151542111506524	0	1888	MYH6,NKX2-5,NOG,TGFB2,GATA4,TBX20,ZFPM1,NOTCH2,ANK2,BMPR2,BMP2,NPHP3
CARDIAC ATRIUM MORPHOGENESIS%GOBP%GO:0003209	CARDIAC ATRIUM MORPHOGENESIS%GOBP%GO:0003209	Details	21	0.855238160512092	1.73549854052237	0.00101536587016855	0.015317312687507	0	1059	MYH6,NKX2-5,NOG,TGFB2,GATA4,TBX20,ZFPM1
CARDIAC CONDUCTION%REACTOME DATABASE ID RELEASE 81%5576891	CARDIAC CONDUCTION%REACTOME DATABASE ID RELEASE 81%5576891	Details	115	0.67910115616422	1.81733604366732	2.98867885461936e-05	0.000771589406735267	0	1243	SLC8A1,NKX2-5,PLN,CORIN,RYR2,CACNA1C,ATP1B1,TBX5,CAMK2A,TRDN,CACNG6,GATA4,KCNIP4,CAMK2D,KCNIP2,CACNB2,ATP1B2,KCNH2,SRI,ATP2A2,TNNI3,KCNE1,SLN,KCNIP1,WWTR1,KCNA5,NPPA,HIPK2,ATP1A1,ASPH,ATP2B4,KAT2B,FXYD1,KCNK3
CARDIAC MUSCLE CELL ACTION POTENTIAL INVOLVED IN CONTRACTION%GOBP%GO:0086002	CARDIAC MUSCLE CELL ACTION POTENTIAL INVOLVED IN CONTRACTION%GOBP%GO:0086002	Details	41	0.748407670460997	1.7096784089973	0.00209976002742544	0.0263548931505513	0	1183	KCNN2,RYR2,CACNA1C,CACNA1D,SNTA1,CACNB2,KCNH2,PKP2,KCNE1,KCNJ3,KCNA5,KCNJ5,ATP1A1,NEDD4L
CARDIAC MUSCLE CELL ACTION POTENTIAL%GOBP%GO:0086001	CARDIAC MUSCLE CELL ACTION POTENTIAL%GOBP%GO:0086001	Details	52	0.800599288866514	1.90395931924904	8.08950705464783e-06	0.000234595704584787	0	768	KCNN2,SLC8A1,RYR2,CACNA1C,CACNA1D,SNTA1,ATP1B1,HCN4,KCNIP2,CACNB2,KCNH2,PKP2,KCNE1,KCNJ3,TRPM4,KCNA5,KCNJ5
CARDIAC MUSCLE CELL CONTRACTION%GOBP%GO:0086003	CARDIAC MUSCLE CELL CONTRACTION%GOBP%GO:0086003	Details	44	0.747912121543781	1.72977657876174	0.00149063032367973	0.0205804199688912	0	1183	KCNN2,RYR2,CACNA1C,CACNA1D,SNTA1,CAMK2D,CACNB2,KCNH2,PKP2,KCNE1,KCNJ3,KCNA5,KCNJ5,ATP1A1,NEDD4L
CARDIAC MYOFIBRIL ASSEMBLY%GOBP%GO:0055003	CARDIAC MYOFIBRIL ASSEMBLY%GOBP%GO:0055003	Details	16	0.93861703647045	1.81861509333827	1.73888831875695e-05	0.000473977670061176	0	565	NEBL,ACTC1,ADPRHL1,TTN,MEF2A,FHOD3,CSRP3,MYLK3
CARDIAC SEPTUM DEVELOPMENT%GOBP%GO:0003279	CARDIAC SEPTUM DEVELOPMENT%GOBP%GO:0003279	Details	62	0.740320179037613	1.81063397281124	9.23444841273721e-05	0.00212414008142273	0	1059	NKX2-5,ZFPM2,NOG,TBX5,TGFB2,BMP5,GATA4,TBX2,TBX20,PARVA,NRP2,BMP7,SLIT2,FGF8,ROBO2,NRP1,TGFBR3,ZFPM1
