name	description	GS details	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
'DE NOVO' POST-TRANSLATIONAL PROTEIN FOLDING%GOBP%GO:0051084	'DE NOVO' POST-TRANSLATIONAL PROTEIN FOLDING%GOBP%GO:0051084	Details	31	-0.625732125428925	-1.56527174086341	0.00942130276768242	0.0412084668578175	0	16440	HSPE1,HSPA14,PTGES3,HSPA9,CCT2,DNAJC7,HSPA2,CHCHD4,HSPA8
'DE NOVO' PROTEIN FOLDING%GOBP%GO:0006458	'DE NOVO' PROTEIN FOLDING%GOBP%GO:0006458	Details	35	-0.658209927198645	-1.68113179382911	0.00132313417407484	0.00828541162227603	0	16748	HSPD1,HSPE1,HSPA14,PTGES3,HSPA9,CCT2,FKBP1B,DNAJC7,HSPA2,CHCHD4,HSPA8,DNAJC2
2'-DEOXYRIBONUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0009394	2'-DEOXYRIBONUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0009394	Details	28	-0.650327941819439	-1.59667286965974	0.00683934602286376	0.0322709410038691	0	16443	NUDT15,UNG,PNP,RRM2,DGUOK,DCTPP1,RRM1,NTHL1,RRM2B,TDG,DUT,DTYMK,AK5
3-PHOSPHOGLYCERATE DEHYDROGENASE DEFICIENCY%SMPDB%SMP0000721	3-PHOSPHOGLYCERATE DEHYDROGENASE DEFICIENCY%SMPDB%SMP0000721	Details	22	-0.678669180018524	-1.59017189747481	0.0091093999709429	0.0402321274099154	0	16971	GLDC,PSAT1,SHMT1,PSPH,GARS1,CTH,SHMT2,SRR,PHGDH
ABC TRANSPORTER DISORDERS%REACTOME DATABASE ID RELEASE 81%5619084	ABC TRANSPORTER DISORDERS%REACTOME DATABASE ID RELEASE 81%5619084	Details	74	-0.586872575465189	-1.67913965075398	0.000262044697338375	0.00198597359522198	0	16674	PSMD11,PSMA3,PSMA4,PSME3,PSMD1,PSMD14,PSMD3,PSMD7,SEM1,PSMA2,PSMA5,PSMB7,PSMC4,PSMB1,PSMD6,PSMD12,PSMD2,PSMA7,PSMA6,PSME4,PSMC6,PSMA1,PSMD13,PSMB3,PSMD4,PSMB2,PSMB6,VCP,PSMC5,PSMB4,RPS27A,PSMC3,PSMB5,PSMC2,PSMD10,PSMC1,UBA52,PSMD8
ABC-FAMILY PROTEINS MEDIATED TRANSPORT%REACTOME DATABASE ID RELEASE 81%382556	ABC-FAMILY PROTEINS MEDIATED TRANSPORT%REACTOME DATABASE ID RELEASE 81%382556	Details	97	-0.554791708087278	-1.63948017857227	0.000276941601444913	0.00208642480519174	0	16744	ABCF1,PSMD11,PSMA3,PSMA4,PSME3,PSMD1,PSMD14,PSMD3,PSMD7,SEM1,PSMA2,PSMA5,PSMB7,PSMC4,PSMB1,PSMD6,EIF2S2,PSMD12,PSMD2,PSMA7,PSMA6,PSME4,PSMC6,PSMA1,PSMD13,PSMB3,PSMD4,PSMB2,PSMB6,EIF2S1,VCP,PSMC5,PSMB4,ABCC4,ABCC1,RPS27A,PSMC3,PSMB5,PSMC2,PSMD10,PSMC1,UBA52,PSMD8
ABORTIVE ELONGATION OF HIV-1 TRANSCRIPT IN THE ABSENCE OF TAT%REACTOME%R-HSA-167242.4	ABORTIVE ELONGATION OF HIV-1 TRANSCRIPT IN THE ABSENCE OF TAT%REACTOME%R-HSA-167242.4	Details	23	-0.67440359445408	-1.5939709937887	0.00819790851945193	0.0373492948400568	0	16352	GTF2F2,POLR2H,POLR2D,CTDP1,NCBP1,NCBP2,POLR2F,POLR2I,NELFA,NELFCD,POLR2K,POLR2A,NELFB,POLR2C,SUPT4H1,POLR2E,GTF2F1,NELFE,POLR2B
ACTIVATION OF THE MRNA UPON BINDING OF THE CAP-BINDING COMPLEX AND EIFS, AND SUBSEQUENT BINDING TO 43S%REACTOME DATABASE ID RELEASE 81%72662	ACTIVATION OF THE MRNA UPON BINDING OF THE CAP-BINDING COMPLEX AND EIFS, AND SUBSEQUENT BINDING TO 43S%REACTOME DATABASE ID RELEASE 81%72662	Details	59	-0.653171114360292	-1.81267166738426	1.88626106417951e-05	0.000194159546492773	0	16777	EIF3B,EIF4E,EIF4A1,EIF3C,PABPC1,EIF2S2,EIF3D,EIF1AX,EIF4G1,RPS10,EIF3I,EIF3G,EIF3A,EIF3E,EIF2S1,EIF4H,RPSA,RPS2,RPS3,RPS27A,RPS21,RPS17,EIF3M,RPS5,RPS7,RPS15,EIF4EBP1,EIF3H,RPS24,RPS6,RPS13,RPS25,EIF2S3,RPS9,RPS26,RPS19,EIF4B,EIF3J,RPS11,RPS27,RPS18,RPS12,RPS15A,RPS20,EIF3L,RPS23,RPS3A,RPS16,RPS28
ADENINE PHOSPHORIBOSYLTRANSFERASE DEFICIENCY (APRT)%PATHWHIZ%PW000511	ADENINE PHOSPHORIBOSYLTRANSFERASE DEFICIENCY (APRT)%PATHWHIZ%PW000511	Details	33	-0.647974777444904	-1.63821448022248	0.00324846600216564	0.0172268472081484	0	17003	PAICS,PPAT,ADCY2,GART,ATIC,GMPS,ADSS2,ADSL,TXN,PFAS,NUDT5,PNP,RRM2,DGUOK,HPRT1,APRT,RRM1
ADENOSINE DEAMINASE DEFICIENCY%PATHWHIZ%PW000075	ADENOSINE DEAMINASE DEFICIENCY%PATHWHIZ%PW000075	Details	33	-0.647974777444904	-1.63821448022248	0.00324846600216564	0.0172268472081484	0	17003	PAICS,PPAT,ADCY2,GART,ATIC,GMPS,ADSS2,ADSL,TXN,PFAS,NUDT5,PNP,RRM2,DGUOK,HPRT1,APRT,RRM1
