name	description	GS details	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
2Q37 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20240310%WP5224%HOMO SAPIENS	2Q37 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20240310%WP5224%HOMO SAPIENS	Details	78	0.4261986384183	1.45249406122604	0.0067826447136792	0.0320987902955116	0	2807	RAMP1,KLHL30,ITGB3,MEF2C,MAP1LC3A,GABARAPL2,MAP4,IL13RA1,GABARAP,RNPEPL1,CYTH3,RAB27A,RRAGB,RRAGA,JUN,ACKR3,USP40,RRAGD,CALCRL,CXCL12,TRAF3,GYS1,ABCA1,DISC1
ACTIN FILAMENT ORGANIZATION%GOBP%GO:0007015	ACTIN FILAMENT ORGANIZATION%GOBP%GO:0007015	Details	226	0.350420281041602	1.3647887146165	0.0023961661341853	0.0135151430889972	0	2593	MICAL2,CAP2,TMOD1,LMOD3,TTN,PHACTR1,NEBL,JAK2,SVIL,CFL2,TPM1,PROX1,LMOD2,RHOBTB2,TCAP,CORO6,ACTC1,LMOD1,XIRP1,NRAP,CNN1,EMP2,RHOQ,WASHC3,TNFAIP1,GSN,PPP1R9B,MSRB2,GAS2,CGNL1,RHOC,MICAL3,XIRP2,DSTN,SPIRE1,TPM2,ARHGAP6,RHOJ,ADD1,AVIL,WHAMM,GAS7,POF1B,RHOB,ZBED3,SORBS1,SAMD14,RHOD,RHOBTB1,EPS8,INPPL1,FSCN2,ITGB1,USH1C,WIPF1,ELMO2
ADIPOGENESIS%WIKIPATHWAYS_20240310%WP236%HOMO SAPIENS	ADIPOGENESIS%WIKIPATHWAYS_20240310%WP236%HOMO SAPIENS	Details	99	0.490461282957935	1.73286855357288	0.000126568003913331	0.00105042915503081	0	2789	FZD1,GATA4,WWTR1,MBNL1,IL6ST,MEF2D,MEF2C,RARA,IGF1,RBL2,LMNA,NR3C1,CDKN1A,PPARGC1A,LPIN1,BMP1,AHR,STAT3,TGFB1,TWIST1,WNT5B,LPIN2,RB1,NR2F1,NCOA1,SPOCK1,STAT1,LPIN3,CEBPD,NDN,SFRP4,GADD45A,KLF5,STAT2,CYP26B1,KLF6,SERPINE1,FOXC2,BMP4,FAS,BMP3
AFFECTED PATHWAYS IN DUCHENNE MUSCULAR DYSTROPHY%WIKIPATHWAYS_20240310%WP5356%HOMO SAPIENS	AFFECTED PATHWAYS IN DUCHENNE MUSCULAR DYSTROPHY%WIKIPATHWAYS_20240310%WP5356%HOMO SAPIENS	Details	51	0.491857057780965	1.56194216454885	0.00675902602854744	0.0320347569457498	0	3278	CAMK2D,SSPN,DMD,TNNI1,TGFBR2,SGCA,STIM1,NFKB1,CASQ1,TGFB1,TRDN,PRKAA2,SERPINE1,AGTR1,PRKAA1,TRPC3,TRPC1,MMP2,CAPN3
ALPHA9 BETA1 INTEGRIN SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ALPHA9 BETA1 INTEGRIN SIGNALING EVENTS	ALPHA9 BETA1 INTEGRIN SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ALPHA9 BETA1 INTEGRIN SIGNALING EVENTS	Details	22	0.642257555748033	1.70160812527447	0.00705761580905941	0.0331040753348127	0	2805	TGM2,VCAM1,FN1,ITGA9,ADAM12,SAT1,VEGFA,ITGB1,VEGFC
ANGIOGENESIS%GOBP%GO:0001525	ANGIOGENESIS%GOBP%GO:0001525	Details	159	0.419112814763736	1.5741077539989	0.000122319850821998	0.00102445841336971	0	3170	NRP1,MEIS1,TGFBR2,EPHB3,GAB1,SEMA5A,PARVA,RAMP1,ITGB3,ITGAV,SLC12A6,VEGFB,PDGFRA,CCN3,THBS1,ADGRA2,HOXB3,COL4A1,MCAM,RSPO3,TGFB1,ITGA5,S1PR1,BMPER,ANGPT1,NRP2,CDH13,EPGN,EGF,SCG2,ANGPT2,SAT1,EFNB2,ESM1,PDGFRB,IL18,HAND1,PIK3R3,ITGB1BP1,SLIT2,RECK,CALCRL,VASH1,ERAP1,TGFBI,GREM1,VEGFA,LOXL2,SERPINE1,BMP4,CD34,VEGFC,ENG,AKT1,JMJD6,CALD1,JAG1,PLXDC1,GATA2
ANGIOGENESIS%PANTHER PATHWAY%P00005	ANGIOGENESIS%PANTHER PATHWAY%P00005	Details	141	0.363094824911992	1.34481415755238	0.00838209710580421	0.0379705411690175	0	2225	FZD1,PLD1,CRYAB,EPHB3,PIK3R1,FGF1,TGFB1I1,PDGFD,DVL3,PDGFC,HSPB1,EPHA3,RHOC,PDGFRA,SHC2,MAPKAPK2,PRKCE,STAT3,NOTCH2,WNT5B,DLK1,ANGPT1,SOS2,JAK1,PRKD1,STAT1,PIK3CA,JUN,EFNB2,WNT5A,ARHGAP1,RHOB,PDGFRB,EFNB1,PIK3R3,CRYAA,SOS1
ANGIOTENSIN II RECEPTOR TYPE 1 PATHWAY%WIKIPATHWAYS_20240310%WP5036%HOMO SAPIENS	ANGIOTENSIN II RECEPTOR TYPE 1 PATHWAY%WIKIPATHWAYS_20240310%WP5036%HOMO SAPIENS	Details	20	0.712912904810924	1.84638702311194	0.00168570893425735	0.0101478080013919	0	1777	TGFBR2,IL6ST,PDGFD,ACTA2,COL1A1,COL1A2,TGFB1,RRAS,ACE2
APPENDAGE DEVELOPMENT%GOBP%GO:0048736	APPENDAGE DEVELOPMENT%GOBP%GO:0048736	Details	62	0.457168594061188	1.50291822395779	0.00785556780595369	0.0359443163801239	0	1731	KAT2B,CACNA1C,TBX5,MBNL1,MAP3K20,TGFB2,OSR1,LNPK,FGF10,AFF3,COMP,TBX3,IQCE,TWIST1,KREMEN1,DKK1,TBX2
ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY%WIKIPATHWAYS_20240310%WP2118%HOMO SAPIENS	ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY%WIKIPATHWAYS_20240310%WP2118%HOMO SAPIENS	Details	53	0.510595329229083	1.6340629133864	0.00314773065634438	0.0170002837395806	0	1181	CACNA1C,ACTN2,CTNNA3,DMD,SLC8A1,RYR2,PKP2,SGCA,ITGB3,ITGAV,LMNA,CDH2,SGCD,SGCB
ARTERY DEVELOPMENT%GOBP%GO:0060840	ARTERY DEVELOPMENT%GOBP%GO:0060840	Details	45	0.53151216571149	1.64918702701239	0.00351395599568742	0.0184591683445912	0	2925	EFEMP2,BMPR2,NRP1,TGFBR2,TGFB2,PROX1,ADAMTS9,ROBO2,TBX2,PDGFRB,SLC2A10,LRP1,VEGFA,BMP4,LRP2,ENG,HEY2,NF1
ARTERY MORPHOGENESIS%GOBP%GO:0048844	ARTERY MORPHOGENESIS%GOBP%GO:0048844	Details	38	0.578155776160821	1.73444283887091	0.00221837870356445	0.0127156346086081	0	3143	EFEMP2,BMPR2,NRP1,TGFBR2,TGFB2,PROX1,ADAMTS9,TBX2,PDGFRB,LRP1,VEGFA,BMP4,LRP2,ENG,HEY2,NF1,JAG1
ASSEMBLY AND CELL SURFACE PRESENTATION OF NMDA RECEPTORS%REACTOME%R-HSA-9609736.5	ASSEMBLY AND CELL SURFACE PRESENTATION OF NMDA RECEPTORS%REACTOME%R-HSA-9609736.5	Details	24	0.64605668185083	1.74695568421415	0.00455707822437873	0.0230246649188777	0	681	CAMK2B,ACTN2,CAMK2D,APBA1,CAMK2A,LRRC7
ATRIAL CARDIAC MUSCLE TISSUE DEVELOPMENT%GOBP%GO:0003228	ATRIAL CARDIAC MUSCLE TISSUE DEVELOPMENT%GOBP%GO:0003228	Details	15	0.774626948388503	1.86257920159662	0.00129556563217714	0.00815474462830229	0	2915	TBX5,MYH6,PROX1,NKX2-5,TBX18,TBX3,HCN4,BMP4,ENG,ISL1
ATRIAL SEPTUM DEVELOPMENT%GOBP%GO:0003283	ATRIAL SEPTUM DEVELOPMENT%GOBP%GO:0003283	Details	16	0.736131411766415	1.79999406152668	0.0029838276541147	0.0162649293635352	0	3112	GATA4,BMPR2,TBX20,TGFB2,ANK2,NKX2-5,NOTCH2,NPHP3,HEY2,ISL1,ZFPM1,DAND5
ATRIOVENTRICULAR VALVE DEVELOPMENT%GOBP%GO:0003171	ATRIOVENTRICULAR VALVE DEVELOPMENT%GOBP%GO:0003171	Details	24	0.644747638513469	1.74341599371434	0.00478657137236903	0.0240122549651783	0	2000	GATA4,SLIT3,BMPR2,TBX20,TGFBR2,TGFB2,SMAD6,DCHS1,EFNA1
ATRIOVENTRICULAR VALVE MORPHOGENESIS%GOBP%GO:0003181	ATRIOVENTRICULAR VALVE MORPHOGENESIS%GOBP%GO:0003181	Details	21	0.630365552547873	1.65174000484365	0.0116488303816649	0.0488973706238956	0	2000	GATA4,SLIT3,BMPR2,TGFBR2,TGFB2,SMAD6,DCHS1,EFNA1
AUTOPHAGOSOME ASSEMBLY%GOBP%GO:0000045	AUTOPHAGOSOME ASSEMBLY%GOBP%GO:0000045	Details	64	0.444622584779158	1.46861593093415	0.0107797844043119	0.0458249067950368	0	3569	STING1,ULK2,MAP1LC3A,GABARAPL2,STX12,TP53INP2,ATG4A,TP53INP1,GABARAP,TOM1,MAP1LC3B,WIPI1,ATG2B,WDR45,ATG9A,UBQLN2,TRAF6,ATG16L2,UBXN2A,STX17,MFN2,ATG7,PACS2
AUTOPHAGY%GOBP%GO:0006914	AUTOPHAGY%GOBP%GO:0006914	Details	202	0.352995038432631	1.35835650454091	0.00280275604344272	0.0154382511985297	0	2465	STING1,LIX1L,RETREG1,CHMP3,ULK2,PINK1,MAP1LC3A,GABARAPL2,SNAP29,PRKN,STX12,UBXN6,CALCOCO2,STAM2,NBR1,TP53INP2,USP30,LGALS8,ATG4A,SPATA18,TP53INP1,LAMP2,VPS37B,GABARAP,TOM1,WDFY3,MAP1LC3B,EPG5,KLHL3,WIPI1,RAB2A,VPS28,ATG2B,STBD1,TBC1D5,TEX264,C19orf12,WDR45,VPS39,VPS36,UFL1,ATG9A,ZFYVE1,UBQLN2,SNX14
AXON GUIDANCE MEDIATED BY SLIT ROBO%PANTHER PATHWAY%P00008	AXON GUIDANCE MEDIATED BY SLIT ROBO%PANTHER PATHWAY%P00008	Details	18	0.686286167305887	1.73037026890674	0.00612898307668852	0.0293996763746592	0	2392	SLIT3,NTN4,RHOC,SLIT2,NTN1,CXCL12
AXON GUIDANCE%GOBP%GO:0007411	AXON GUIDANCE%GOBP%GO:0007411	Details	148	0.357702029430981	1.33170096435078	0.0094113762073805	0.0412084668578175	0	2392	PALLD,NCAM1,SLIT3,NFIB,NRP1,PTPRM,SEMA6D,PLXNA4,EPHB3,SEMA5A,MYPN,NEXN,CNTN5,PLXNA3,NTN4,EPHA5,EPHA3,EFNB3,SEMA3C,OPHN1,SEMA3B,KALRN,NOTCH2,ROBO2,NRP2,EFNA5,TRIO,LHX9,EFNB2,WNT5A,RELN,EFNA1,EFNB1,SLIT2,BOC,SEMA3D,SOS1,UNC5C,NTN1,VEGFA,CXCL12
BETA3 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA3 INTEGRIN CELL SURFACE INTERACTIONS	BETA3 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA3 INTEGRIN CELL SURFACE INTERACTIONS	Details	42	0.578060162762772	1.76805819530954	0.00105514088084724	0.00680324846117849	0	2711	LAMA4,TGFBR2,ITGB3,COL1A1,ITGAV,COL4A5,FN1,FBN1,THBS1,COL1A2,COL4A1,LAMB1,LAMC1,PDGFRB,TGFBI,PVR,VEGFA,CD47,PECAM1
BETA5 BETA6 BETA7 AND BETA8 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA5 BETA6 BETA7 AND BETA8 INTEGRIN CELL SURFACE INTERACTIONS	BETA5 BETA6 BETA7 AND BETA8 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA5 BETA6 BETA7 AND BETA8 INTEGRIN CELL SURFACE INTERACTIONS	Details	15	0.731549607271029	1.75900036304419	0.00497614981449856	0.0247870803701022	0	3739	VCAM1,ITGAV,FN1,FBN1,EDIL3,VTN
BIOCARTA_ALK_PATHWAY%MSIGDB_C2%BIOCARTA_ALK_PATHWAY	BIOCARTA_ALK_PATHWAY%MSIGDB_C2%BIOCARTA_ALK_PATHWAY	Details	30	0.692675045126337	1.97626113914969	0.00014548175651921	0.00119838474144423	0	1580	FZD1,GATA4,BMP5,BMPR2,TGFBR2,MYL2,NKX2-5,MEF2C,TGFB1,NPPA
BIOCARTA_AMI_PATHWAY%MSIGDB_C2%BIOCARTA_AMI_PATHWAY	BIOCARTA_AMI_PATHWAY%MSIGDB_C2%BIOCARTA_AMI_PATHWAY	Details	16	0.759199902082066	1.85640130745159	0.00158142865668079	0.00965735903709587	0	2298	PROS1,COL4A2,COL4A5,COL4A1,TFPI,F10
