name	description	GS details	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
ABC TRANSPORTER DISORDERS%REACTOME DATABASE ID RELEASE 81%5619084	ABC TRANSPORTER DISORDERS%REACTOME DATABASE ID RELEASE 81%5619084	Details	74	-0.618543307458892	-1.60304468746507	0.00192928930366116	0.0140747860131398	0	16798	PSMD11,PSMA4,PSMD1,PSME3,PSMD7,PSMC3,PSMD6,PSMD12,ABCB11,PSMD14,PSMB1,PSMC5,PSMB2,PSMD10,PSMC6,PSMB7,PSMC4,PSMC1,PSMA3,PSMB6,PSME4,VCP,PSMC2,DERL3,PSMD2,SEM1,ERLIN2,PSMD13,PSMA6,PSMA2,PSMA7,ERLIN1,ABCC8,PSMD3
ABC-FAMILY PROTEINS MEDIATED TRANSPORT%REACTOME DATABASE ID RELEASE 81%382556	ABC-FAMILY PROTEINS MEDIATED TRANSPORT%REACTOME DATABASE ID RELEASE 81%382556	Details	97	-0.549858489070866	-1.47577574365156	0.00867876961416422	0.0475983297232789	0	16798	PSMD11,PSMA4,PSMD1,PSME3,PSMD7,PSMC3,PSMD6,PSMD12,EIF2S2,PSMD14,PSMB1,PSMC5,PSMB2,PSMD10,PSMC6,PSMB7,PSMC4,PSMC1,PSMA3,PSMB6,PSME4,VCP,PSMC2,DERL3,ABCF1,PSMD2,SEM1,ERLIN2,PSMD13,PSMA6,PSMA2,PSMA7,ERLIN1,PSMD3
ACTIVATION OF NF-KAPPAB IN B CELLS%REACTOME%R-HSA-1169091.2	ACTIVATION OF NF-KAPPAB IN B CELLS%REACTOME%R-HSA-1169091.2	Details	65	-0.644718205131624	-1.63949417751275	0.00132110426094087	0.0102446070344755	0	16798	PSMD11,PSMA4,PSMD1,PSME3,PSMD7,PSMC3,PSMD6,PSMD12,CHUK,PSMD14,PSMB1,PSMC5,PSMB2,PSMD10,PSMC6,PSMB7,PSMC4,PSMC1,PSMA3,PSMB6,PSME4,MALT1,PSMC2,PSMD2,SEM1,PSMD13,PSMA6,PSMA2,PSMA7,PSMD3
ALTERNATIVE MRNA SPLICING, VIA SPLICEOSOME%GOBP%GO:0000380	ALTERNATIVE MRNA SPLICING, VIA SPLICEOSOME%GOBP%GO:0000380	Details	18	-0.808129655264733	-1.64767116648249	0.00342367078524093	0.0220301247791947	0	16642	DDX5,HNRNPM,DHX9,SRSF1,SRSF9,SFPQ,CDK13,NCBP1,SLU7,SRSF6,RBM17,RSRC1
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS ANTIGEN%GOBP%GO:0019884	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS ANTIGEN%GOBP%GO:0019884	Details	31	-0.721878563765484	-1.62783402000333	0.00452003121748179	0.0278241322527088	0	17014	CTSV,HLA-DOA,PIKFYVE
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0019886	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0019886	Details	22	-0.790691625312976	-1.67489437266971	0.00185240813056974	0.0136480789295225	0	17014	CTSV,HLA-DOA,PIKFYVE
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN%GOBP%GO:0002478	ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN%GOBP%GO:0002478	Details	29	-0.73348846715447	-1.63533402256882	0.00413223140495868	0.0257544667839966	0	17014	CTSV,HLA-DOA,PIKFYVE
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0002495	ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0002495	Details	24	-0.780209253027882	-1.6801007259103	0.00175875228140036	0.0130794329498521	0	17014	CTSV,HLA-DOA,PIKFYVE
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE OR POLYSACCHARIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0002504	ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE OR POLYSACCHARIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0002504	Details	25	-0.75846884254237	-1.64511197596	0.00345317559976208	0.0221750437149534	0	17014	CTSV,HLA-DOA,PIKFYVE
ANTIGEN PROCESSING-CROSS PRESENTATION%REACTOME DATABASE ID RELEASE 81%1236975	ANTIGEN PROCESSING-CROSS PRESENTATION%REACTOME DATABASE ID RELEASE 81%1236975	Details	99	-0.63365822023575	-1.70538960214642	0.000211120198262371	0.00228809621017802	0	17014	CTSV,PSMD11,PSMA4,HMGB1,PSMD1,PSME3,PSMD7,PSMC3,PSMD6,PSMD12,CHUK,PSMD14,PSMB1,PSMC5,PSMB2,PSMD10,PSMC6,PSMB7,PSMC4,PSMC1,PSMA3,PSMB6,PSME4,PSMC2,PSMD2,SEM1,PSMD13,PSMA6,PSMA2,PSMA7,PSMD3,ITGB5
ANTIVIRAL MECHANISM BY IFN-STIMULATED GENES%REACTOME%R-HSA-1169410.7	ANTIVIRAL MECHANISM BY IFN-STIMULATED GENES%REACTOME%R-HSA-1169410.7	Details	126	-0.633461277229706	-1.75530821700027	2.05563075690684e-05	0.00035767975170179	0	17016	NUP50,PPP2R1B,NUP155,NUP107,NUP205,NUP160,NUP88,CDK1,ILF3,NUP43,EIF2S2,UBE2N,DHX9,FANCA,FANCM,NUP54,CHUK,NUP85,EIF4G2,NDC1,FANCG,ILF2,SUMO1,FANCB,FLNA,NUP153,PPP2CA,NUP188,RAE1,KPNA2,NUP35,UBE2I,FANCL,RANBP2,NUP93,TP53,ADAR,EIF4E,NUP62,PPM1B,FANCC,PLCG1,NUP37,BECN1,EIF4E2,EIF4A1,NUP214,POM121,ABCE1,NUP210,UBE2E1,HSPA8,PIN1,CENPS,PPP2CB
