name	description	GS details	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
13Q12 12 COPY NUMBER VARIATION%WIKIPATHWAYS_20240310%WP5406%HOMO SAPIENS	13Q12 12 COPY NUMBER VARIATION%WIKIPATHWAYS_20240310%WP5406%HOMO SAPIENS	Details	25	0.70348499799917	1.63806806592019	0.00937230862759005	0.0499241670427989	0	2094	LINGO1,SGCA,DMD,SSPN,TRAF1,ATXN1,SNTA1,TNFRSF19,RTN4R,RTN4
2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY%PATHWHIZ%PW000525	2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY%PATHWHIZ%PW000525	Details	21	0.797647251958486	1.78977920575249	0.00119118522930316	0.00933977455716586	0	2744	SDHA,MDH1,SUCLG2,CS,FH,MPC1,IDH3G,ACO2,SUCLG1,SDHB,PDHA1,DLST,DHTKD1,SDHD
2-METHYL-3-HYDROXYBUTYRYL-COA DEHYDROGENASE DEFICIENCY%PATHWHIZ%PW000061	2-METHYL-3-HYDROXYBUTYRYL-COA DEHYDROGENASE DEFICIENCY%PATHWHIZ%PW000061	Details	28	0.73202418999757	1.74326988596259	0.0025136583989535	0.0170923388562673	0	2724	ABAT,ACAT1,ACADS,PCCA,MCCC1,BCKDHA,DBT,OXCT1,ECHS1,ALDH6A1,HMGCL,MCCC2,PCCB
3-HYDROXY-3-METHYLGLUTARYL-COA LYASE DEFICIENCY%PATHWHIZ%PW000063	3-HYDROXY-3-METHYLGLUTARYL-COA LYASE DEFICIENCY%PATHWHIZ%PW000063	Details	28	0.73202418999757	1.74326988596259	0.0025136583989535	0.0170923388562673	0	2724	ABAT,ACAT1,ACADS,PCCA,MCCC1,BCKDHA,DBT,OXCT1,ECHS1,ALDH6A1,HMGCL,MCCC2,PCCB
3-HYDROXYISOBUTYRIC ACID DEHYDROGENASE DEFICIENCY%SMPDB%SMP0000521	3-HYDROXYISOBUTYRIC ACID DEHYDROGENASE DEFICIENCY%SMPDB%SMP0000521	Details	28	0.73202418999757	1.74326988596259	0.0025136583989535	0.0170923388562673	0	2724	ABAT,ACAT1,ACADS,PCCA,MCCC1,BCKDHA,DBT,OXCT1,ECHS1,ALDH6A1,HMGCL,MCCC2,PCCB
3-HYDROXYISOBUTYRIC ACIDURIA%PATHWHIZ%PW000498	3-HYDROXYISOBUTYRIC ACIDURIA%PATHWHIZ%PW000498	Details	28	0.73202418999757	1.74326988596259	0.0025136583989535	0.0170923388562673	0	2724	ABAT,ACAT1,ACADS,PCCA,MCCC1,BCKDHA,DBT,OXCT1,ECHS1,ALDH6A1,HMGCL,MCCC2,PCCB
3-METHYLCROTONYL-COA CARBOXYLASE DEFICIENCY TYPE I%SMPDB%SMP0000237	3-METHYLCROTONYL-COA CARBOXYLASE DEFICIENCY TYPE I%SMPDB%SMP0000237	Details	28	0.73202418999757	1.74326988596259	0.0025136583989535	0.0170923388562673	0	2724	ABAT,ACAT1,ACADS,PCCA,MCCC1,BCKDHA,DBT,OXCT1,ECHS1,ALDH6A1,HMGCL,MCCC2,PCCB
3-METHYLGLUTACONIC ACIDURIA TYPE I%SMPDB%SMP0000139	3-METHYLGLUTACONIC ACIDURIA TYPE I%SMPDB%SMP0000139	Details	28	0.73202418999757	1.74326988596259	0.0025136583989535	0.0170923388562673	0	2724	ABAT,ACAT1,ACADS,PCCA,MCCC1,BCKDHA,DBT,OXCT1,ECHS1,ALDH6A1,HMGCL,MCCC2,PCCB
3-METHYLGLUTACONIC ACIDURIA TYPE III%SMPDB%SMP0000140	3-METHYLGLUTACONIC ACIDURIA TYPE III%SMPDB%SMP0000140	Details	28	0.73202418999757	1.74326988596259	0.0025136583989535	0.0170923388562673	0	2724	ABAT,ACAT1,ACADS,PCCA,MCCC1,BCKDHA,DBT,OXCT1,ECHS1,ALDH6A1,HMGCL,MCCC2,PCCB
3-METHYLGLUTACONIC ACIDURIA TYPE IV%SMPDB%SMP0000141	3-METHYLGLUTACONIC ACIDURIA TYPE IV%SMPDB%SMP0000141	Details	28	0.73202418999757	1.74326988596259	0.0025136583989535	0.0170923388562673	0	2724	ABAT,ACAT1,ACADS,PCCA,MCCC1,BCKDHA,DBT,OXCT1,ECHS1,ALDH6A1,HMGCL,MCCC2,PCCB
