name	description	GS details	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
2-METHYL-3-HYDROXYBUTYRYL-COA DEHYDROGENASE DEFICIENCY%PATHWHIZ%PW000061	2-METHYL-3-HYDROXYBUTYRYL-COA DEHYDROGENASE DEFICIENCY%PATHWHIZ%PW000061	Details	28	-0.712962651371256	-1.64212247227471	0.00382661369113528	0.0463794342603057	0	17003	ALDH6A1,PCCA,AUH,HIBADH,BCKDHA,ALDH2,BCKDHB,MCCC1,HMGCL
3-HYDROXY-3-METHYLGLUTARYL-COA LYASE DEFICIENCY%PATHWHIZ%PW000063	3-HYDROXY-3-METHYLGLUTARYL-COA LYASE DEFICIENCY%PATHWHIZ%PW000063	Details	28	-0.712962651371256	-1.64212247227471	0.00382661369113528	0.0463794342603057	0	17003	ALDH6A1,PCCA,AUH,HIBADH,BCKDHA,ALDH2,BCKDHB,MCCC1,HMGCL
3-HYDROXYISOBUTYRIC ACID DEHYDROGENASE DEFICIENCY%SMPDB%SMP0000521	3-HYDROXYISOBUTYRIC ACID DEHYDROGENASE DEFICIENCY%SMPDB%SMP0000521	Details	28	-0.712962651371256	-1.64212247227471	0.00382661369113528	0.0463794342603057	0	17003	ALDH6A1,PCCA,AUH,HIBADH,BCKDHA,ALDH2,BCKDHB,MCCC1,HMGCL
3-HYDROXYISOBUTYRIC ACIDURIA%PATHWHIZ%PW000498	3-HYDROXYISOBUTYRIC ACIDURIA%PATHWHIZ%PW000498	Details	28	-0.712962651371256	-1.64212247227471	0.00382661369113528	0.0463794342603057	0	17003	ALDH6A1,PCCA,AUH,HIBADH,BCKDHA,ALDH2,BCKDHB,MCCC1,HMGCL
3-METHYLCROTONYL-COA CARBOXYLASE DEFICIENCY TYPE I%SMPDB%SMP0000237	3-METHYLCROTONYL-COA CARBOXYLASE DEFICIENCY TYPE I%SMPDB%SMP0000237	Details	28	-0.712962651371256	-1.64212247227471	0.00382661369113528	0.0463794342603057	0	17003	ALDH6A1,PCCA,AUH,HIBADH,BCKDHA,ALDH2,BCKDHB,MCCC1,HMGCL
3-METHYLGLUTACONIC ACIDURIA TYPE I%SMPDB%SMP0000139	3-METHYLGLUTACONIC ACIDURIA TYPE I%SMPDB%SMP0000139	Details	28	-0.712962651371256	-1.64212247227471	0.00382661369113528	0.0463794342603057	0	17003	ALDH6A1,PCCA,AUH,HIBADH,BCKDHA,ALDH2,BCKDHB,MCCC1,HMGCL
3-METHYLGLUTACONIC ACIDURIA TYPE III%SMPDB%SMP0000140	3-METHYLGLUTACONIC ACIDURIA TYPE III%SMPDB%SMP0000140	Details	28	-0.712962651371256	-1.64212247227471	0.00382661369113528	0.0463794342603057	0	17003	ALDH6A1,PCCA,AUH,HIBADH,BCKDHA,ALDH2,BCKDHB,MCCC1,HMGCL
3-METHYLGLUTACONIC ACIDURIA TYPE IV%SMPDB%SMP0000141	3-METHYLGLUTACONIC ACIDURIA TYPE IV%SMPDB%SMP0000141	Details	28	-0.712962651371256	-1.64212247227471	0.00382661369113528	0.0463794342603057	0	17003	ALDH6A1,PCCA,AUH,HIBADH,BCKDHA,ALDH2,BCKDHB,MCCC1,HMGCL
ACENOCOUMAROL ACTION PATHWAY%PATHWHIZ%PW000312	ACENOCOUMAROL ACTION PATHWAY%PATHWHIZ%PW000312	Details	16	-0.80356134706682	-1.6566047332091	0.00277903336514155	0.0393087770646191	0	17018	PLG,FGG,FGB,FGA,F2,F7
ACTIVATION OF THE MRNA UPON BINDING OF THE CAP-BINDING COMPLEX AND EIFS, AND SUBSEQUENT BINDING TO 43S%REACTOME DATABASE ID RELEASE 81%72662	ACTIVATION OF THE MRNA UPON BINDING OF THE CAP-BINDING COMPLEX AND EIFS, AND SUBSEQUENT BINDING TO 43S%REACTOME DATABASE ID RELEASE 81%72662	Details	59	-0.726214402141774	-1.8986996013138	4.01776469146985e-06	0.000218092509021581	0	17020	EIF3E,EIF4A2,RPS24,RPS3A,EIF4B,RPS23,RPS8,EIF3H,RPS17,EIF3L,RPS25,RPS11,RPS15A,EIF3F,RPS6,RPS3,RPS5,RPS27,RPS18,RPS13,PABPC1,RPS7,RPS14,RPS4X,FAU,EIF3D,RPS10,RPS2,RPS20,RPS9,RPS29,RPS15,RPS16,EIF3M,RPS28
