name	description	GS details	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
ACTIN FILAMENT ORGANIZATION%GOBP%GO:0007015	ACTIN FILAMENT ORGANIZATION%GOBP%GO:0007015	Details	226	0.448126041485556	1.51742312602139	0.000427883646426673	0.0109882923041468	0	2521	FAT1,ACTN1,MICAL2,WDR1,ACTR3,ZYX,ARPC2,CORO1C,ITGB1,CNN1,MYO5A,TAGLN2,TNFAIP1,SHROOM2,SHROOM3,CAP1,DPYSL3,ARPC1B,FLNA,CALD1,ACTR2,LIMA1,TPM2,ARPC5L,DIAPH3,RHOC,RND3,EMP2,PDLIM1,GAS2L1,TPM4,CFL1,XIRP1,DIAPH1,CFL2,PLS3,TTN,LMOD1,CDC42EP2,MICAL3,LMOD2,SVIL,ITGB5,ARPC3,ARPC4,TPM3,DSTN,DBN1,ARPC5,ACTA1,FSCN1,MICAL1,GAS7,TPM1,BCAR1,CNN3,MYO7B,NEDD9,CNN2,SHROOM4,PAWR,ENAH,ACTC1,LMOD3,SPIRE1,ADD2,RAC2,IQGAP1
ACTIVATION OF APC C AND APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME%R-HSA-176814.5	ACTIVATION OF APC C AND APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME%R-HSA-176814.5	Details	75	0.678013958350128	1.99185295332695	3.19167544921633e-06	0.000184275734345208	0	3057	PSMD1,PSMC2,PSME4,PSMD14,PSMC3,PSMD11,PSMC4,PSMC5,PSMB2,PSMD7,UBE2S,ANAPC7,PSMD2,PSMC1,PSMA7,PSME3,PSMB5,PSMB3,PSMD12,PSMB6,PSMD13,CCNB1,CDC20,CDC27,PSMD8,PTTG1,PSMA5,BUB1B,PLK1,PSMD6,PSMD3,MAD2L1,PSMD9,PSMB1,PSMB4,PSMA4,PSMA2,PSMA3,ANAPC11,NEK2
ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS%REACTOME DATABASE ID RELEASE 81%176187	ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS%REACTOME DATABASE ID RELEASE 81%176187	Details	37	0.706289525104878	1.83432012091047	0.000528974582771298	0.0126297653202275	0	2865	CDC6,CHEK1,CLSPN,MCM6,CDC25A,MCM10,MCM5,ORC6,CDC45,ORC1,MCM8,CDK2,RFC4,RFC3,HUS1,MCM3,RFC2,MCM7,RAD1,MCM4,ATR
ACTIVATION OF NF-KAPPAB IN B CELLS%REACTOME%R-HSA-1169091.2	ACTIVATION OF NF-KAPPAB IN B CELLS%REACTOME%R-HSA-1169091.2	Details	65	0.706938336765762	2.03024862104803	2.37491050321952e-06	0.000149337194118289	0	2881	PSMD1,PSMC2,PSME4,PSMD14,PSMC3,PSMD11,PSMC4,PSMC5,CHUK,PSMB2,PSMD7,PSMD2,PSMC1,PSMA7,PSME3,PSMB5,CARD11,PSMB3,PSMD12,FBXW11,PSMB6,PSMD13,PSMD8,PSMA5,NFKB1,PSMD6,PSMD3,PSMD9,PSMB1,PSMB4,PSMA4,NFKBIB,PSMA2,PSMA3
ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME%R-HSA-68962.6	ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME%R-HSA-68962.6	Details	32	0.686457664162804	1.73037586290019	0.00243124542507581	0.0376605846211134	0	2654	CDC6,MCM6,GMNN,MCM10,MCM5,ORC6,CDC45,ORC1,MCM8,CDK2,POLA2,POLE4,MCM3,POLE2,POLE3,MCM7,MCM4
ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS%GOBP%GO:0002460	ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS%GOBP%GO:0002460	Details	68	0.56654232789856	1.6381852862355	0.00256676472284709	0.0390923807069589	0	2401	STAT4,MICA,NCR3LG1,EMP2,BACH2,RFTN1,RNF8,STAT3,SANBR,RNF168,IL18,SOCS3,JAG1
ADAPTIVE IMMUNE RESPONSE%GOBP%GO:0002250	ADAPTIVE IMMUNE RESPONSE%GOBP%GO:0002250	Details	90	0.536115990339008	1.61932518500606	0.00146690300103906	0.0266942720905417	0	2401	STAT4,MICA,NCR3LG1,RAPGEF4,EMP2,TRBC2,BACH2,RFTN1,RNF8,STAT3,SANBR,RNF168,IL18,SOCS3,JAG1
ADENINE PHOSPHORIBOSYLTRANSFERASE DEFICIENCY (APRT)%PATHWHIZ%PW000511	ADENINE PHOSPHORIBOSYLTRANSFERASE DEFICIENCY (APRT)%PATHWHIZ%PW000511	Details	33	0.668637516379446	1.69695205789635	0.00381549719064419	0.0463794342603057	0	3026	GUCY1A2,NT5C2,PNP,RRM1,PDE10A,RRM2,GART,GMPR,GUCY1B1,NUDT5,IMPDH1,TXN,ATIC,ITPA
ADENOSINE DEAMINASE DEFICIENCY%PATHWHIZ%PW000075	ADENOSINE DEAMINASE DEFICIENCY%PATHWHIZ%PW000075	Details	33	0.668637516379446	1.69695205789635	0.00381549719064419	0.0463794342603057	0	3026	GUCY1A2,NT5C2,PNP,RRM1,PDE10A,RRM2,GART,GMPR,GUCY1B1,NUDT5,IMPDH1,TXN,ATIC,ITPA
ADENYLOSUCCINATE LYASE DEFICIENCY%SMPDB%SMP0000167	ADENYLOSUCCINATE LYASE DEFICIENCY%SMPDB%SMP0000167	Details	33	0.668637516379446	1.69695205789635	0.00381549719064419	0.0463794342603057	0	3026	GUCY1A2,NT5C2,PNP,RRM1,PDE10A,RRM2,GART,GMPR,GUCY1B1,NUDT5,IMPDH1,TXN,ATIC,ITPA
AICA-RIBOSIDURIA%PATHWHIZ%PW000082	AICA-RIBOSIDURIA%PATHWHIZ%PW000082	Details	33	0.668637516379446	1.69695205789635	0.00381549719064419	0.0463794342603057	0	3026	GUCY1A2,NT5C2,PNP,RRM1,PDE10A,RRM2,GART,GMPR,GUCY1B1,NUDT5,IMPDH1,TXN,ATIC,ITPA
ALPHA4 BETA1 INTEGRIN SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ALPHA4 BETA1 INTEGRIN SIGNALING EVENTS	ALPHA4 BETA1 INTEGRIN SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ALPHA4 BETA1 INTEGRIN SIGNALING EVENTS	Details	32	0.731587696135885	1.84413658274498	0.000627418174213113	0.0144899375433727	0	455	ITGA4,THBS1,TLN1,FN1,THBS2,ITGB1,PRKAR1A
